This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
important ^jj+atrb+++=important
municipality ^nn+nom+++=municipality
for ^in++++=for
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mayor ^nn++++=mayor
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
ours ^pp$$++++=ours.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
in ^in++++=in
her ^pp3o+pp3+++=her
second ^od++++=second
term ^nn++++=term,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
support ^vb++++=support
a ^at++++=a
great ^jj+atrb+++=great
leader ^nn++++=leader
of ^in++++=of
the ^ati++++=the
municipality ^nn+nom+++=municipality
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
from ^in++++=from
her ^pp$+pp3+++=her
group ^nn++++=group,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
dear ^uh++++=dear
to ^in++++=to
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
even ^rb++++=even
affiliated ^jj+++xvbn+=affiliated
with ^in++++=with
[ ^zz++++=[the
the ^ati++++=EXTRAWORD
legislator ^nn++++=legislator's
's ^$++++=EXTRAWORD
party ^nn++++=party],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
already ^rb++splt++=already
committed ^vpsv++agls+xvbnx+=committed
to ^to++++=to
[ ^zz++++=[the
the ^ati++++=EXTRAWORD
legislator ^nn++++=legislator].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
One ^cd1++++=One
year ^nn++++=year
in ^in++++=in
advance ^nn+nom+++=advance
we ^pp1a+pp1+++=we
start ^vb++++=start
planning ^nvbg+++xvbg+=planning
for ^in++++=for
the ^ati++++=the
following ^jj+atrb++xvbg+=following
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
everything ^pn++++=everything
can ^md+pos+++=can
change ^vb++++=change
during ^in++++=during
the ^ati++++=the
elections ^nns+nom+++=elections,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
betting ^vbg+++xvbgx+=betting
on ^in++++=on
it ^pp3+it+++=it
and ^cc++++=and
allocating ^jj+atrb++xvbg+=allocating
resources ^nns++++=resources
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mayor ^nn++++=mayor,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
good ^jj+atrb+++=good
friend ^nn++++=friend
of ^in++++=of
her ^pp$+pp3+++=her
s ^zz++++=s
and ^cc++++=and
ours ^pp$$++++=ours
, ^zz++++=,
although ^cs+con+++=although
already ^rb++++=already
committed ^vbd+++xvbn+=committed
to ^in++++=to
another ^dt++++=another
legislator ^nn++++=legislator,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
the ^ati++++=the
doors ^nns++++=doors
of ^in++++=of
the ^ati++++=the
municipality ^nn+nom+++=municipality
( ^zz++++=(Councilor
councilor ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
