This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
between ^in++++=between
25 ^cd++++=25/11/2019
and ^cc++++=and
29 ^cd++++=29/11/2019,
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
integrity ^nn+nom+++=integrity
of ^in++++=of
the ^ati++++=the
mucosa ^nn+++??+=mucosa
and ^cc++++=and
the ^ati++++=the
hygiene ^nn++++=hygiene
conditions ^nns+nom+++=conditions
of ^in++++=of
the ^ati++++=the
dentures ^nns++++=dentures.
. ^zz++++=EXTRAWORD
Basal ^jj+atrb+++=Basal
and ^cc+phrs+++=and
occlusal ^jj+atrb+++=occlusal
adjustments ^nns+nom+++=adjustments
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
as ^in++++=as
required ^nn++++=required.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
answered ^vbd+vpub++xvbn+=answered
a ^at++++=a
questionnaire ^nn++++=questionnaire
regarding ^in++++=regarding
their ^pp$+pp3+++=their
satisfaction ^nn+nom+++=satisfaction
and ^cc++++=and
chewing ^vbg+++xvbg+=chewing
ability13 ^nn+++??+=ability13
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
the ^ati++++=the
dentures ^nns++++=dentures
received ^vbd+++xvbn+=received,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
again ^rb+tm+++=again
responded ^vbd+++xvbn+=responded
to ^in++++=to
the ^ati++++=the
ohip ^np++++=OHIP-14
- ^zz++++=EXTRAWORD
14 ^cd++++=EXTRAWORD
instrument20 ^nn++++=instrument20.
. ^zz++++=EXTRAWORD
