The ^ati++++=The
N ^zz++++=N
cleo ^nn+++??+=cleo
Curucutu ^np+++??+=Curucutu
located ^vwbn+++xvbn+=located
at ^rb++++=at
the ^ati++++=the
coordinates ^nns+nom+++=coordinates
23 ^cd++++=23
59'09.7"s ^cd++++=59'09.7"S
and ^cc++++=and
46 ^cd++++=46
44'32.5"w ^cd++++=44'32.5"W
was ^vbd+bedz+aux++=was
created ^vpsv++agls+xvbnx+=created
in ^in++++=in
1977 ^cd+date+++=1977,
, ^zz++++=EXTRAWORD
concomitantly ^jj++++=concomitantly
to ^in++++=to
the ^ati++++=the
Parque ^np+++??+=Parque
Estadual ^np+nom++??+=Estadual
Serra ^np+++??+=Serra
do ^vb+do+aux++=do
Mar ^vb++++=Mar,
, ^zz++++=EXTRAWORD
covering ^vbg+++xvbg+=covering
the ^ati++++=the
municipalities ^nns+nom+++=municipalities
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
Itanha ^np+++??+=Itanha
m ^zz++++=m,
, ^zz++++=EXTRAWORD
Mongagu ^np+++??+=Mongagu
and ^cc++++=and
Juquitiba ^np+++??+=Juquitiba,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
its ^pp$+it+++=its
origins ^nns++++=origins
in ^in++++=in
the ^ati++++=the
Fazenda ^np+++??+=Fazenda
Curucutu ^np+++??+=Curucutu,
, ^zz++++=EXTRAWORD
a ^at++++=a
coal ^nn++++=coal
producer ^nn+nom+++=producer,
, ^zz++++=EXTRAWORD
acquired ^xvbn+++xvbn+=acquired
by ^in++++=by
the ^ati++++=the
State ^nn++++=State
in ^in++++=in
1958 ^cd+date+++=1958
and ^cc++++=and
transformed ^vpsv++agls+xvbn+=transformed
into ^in++++=into
a ^at++++=a
Forest ^nn++++=Forest
Reserve ^nn++++=Reserve
 ^zz++++=(Bellato
Bellato ^np++++=EXTRAWORD
 ^zz++++=&
Mendes ^np++++=Mendes
002 ^cd++++=2002,
 ^zz++++=EXTRAWORD
Pesm ^np++++=PESM
021a ^cd++++=2021a).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
