Similar ^jj+atrb+++=Similar
considerations ^nns+nom+++=considerations
can ^md+pos+++=can
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
regarding ^in++++=regarding
the ^ati++++=the
identification ^nn+nom+++=identification
of ^in++++=of
articulated2 ^nn+++??+=articulated2
epistemic ^jj+atrb+++=epistemic
behaviour ^nn++++=behaviour:
: ^zz++++=EXTRAWORD
complex ^jj+atrb+++=complex
attitudes ^nns++++=attitudes
perpetrated ^vwbn+++xvbn+=perpetrated
by ^in++++=by
the ^ati++++=the
children ^nns++++=children
to ^to++++=to
investigate ^nn+nom+++=investigate
an ^at++++=an
observed ^jj+atrb++xvbn+=observed
phenomenon ^nn++++=phenomenon.
. ^zz++++=EXTRAWORD
In ^rb++++=In
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
collected ^vwbn+++xvbn+=collected
highlighted ^vbd+++xvbn+=highlighted
that ^cs+sub+++=that
children ^vbz++++=children
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
groups ^nns++++=groups
A ^at++++=A
and ^cc++++=and
B ^zz++++=B
( ^zz++++=(
promotion ^nn+nom+++=promotion
from ^in++++=from
within ^in++++=within
approach ^nn++++=approach)
) ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
different ^jj+atrb+++=different
epistemic ^nn++++=epistemic
behaviour ^nn++++=behaviour
( ^zz++++=(A
a ^at++++=EXTRAWORD
and ^cc++++=and
B=11 ^np+++??+=B=11)
) ^zz++++=EXTRAWORD
connected ^vbd+++xvbn+=connected
with ^in++++=with
the ^ati++++=the
scientific ^jj+atrb+++=scientific
investigation ^nn+nom+++=investigation
( ^zz++++=(exploration,
exploration ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
experimentation ^nn+nom+++=experimentation,
, ^zz++++=EXTRAWORD
identification ^nn+nom+++=identification
of ^in++++=of
the ^ati++++=the
issue ^nn++++=issue)
) ^zz++++=EXTRAWORD
to ^to++++=to
deepen ^vbi++++=deepen
their ^pp$+pp3+++=their
knowledge ^nn++++=knowledge
concerning ^in++++=concerning
the ^ati++++=the
same ^ap++++=same
phenomenon ^nn++++=phenomenon.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
group ^nn++++=group
C ^zz++++=C
showed ^vbd+vprv++xvbn+=showed
less ^rbr++++=less
quantity ^nn+nom+++=quantity
( ^zz++++=(C=4)
c=4 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
complexity ^nn+nom+++=complexity
( ^zz++++=(constructing
constructing ^vbg+++xvbg+=EXTRAWORD
and ^cc++++=and
exploration ^nn+nom+++=exploration)
) ^zz++++=EXTRAWORD
regarding ^in++++=regarding
behaviors ^nns++++=behaviors
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
learning ^vbg+vprv++xvbg+=learning
following ^jj+++xvbg+=following
a ^at++++=a
scientific ^jj+atrb+++=scientific
investigation ^nn+nom+++=investigation
method ^nn++++=method.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tables ^nns++++=tables
reported ^vbd+vpub++xvbn+=reported
below ^rb++++=below
show ^vb+vprv+++=show
the ^ati++++=the
quantity ^nn+nom+++=quantity
and ^cc++++=and
quality ^nn+nom+++=quality
of ^in++++=of
the ^ati++++=the
articulated ^jj+atrb++xvbn+=articulated
epistemic ^jj+atrb+++=epistemic
behaviours ^nns++++=behaviours
to ^to++++=to
investigate ^nn+nom+++=investigate
the ^ati++++=the
different ^jj+atrb+++=different
phenomena ^nns++++=phenomena
observed ^jj++++=observed.
. ^zz++++=EXTRAWORD
