Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
four ^cd++++=four
studies ^nns++++=studies
show ^vb+vprv+++=show
how ^wrb+who+whcl++=how
gestures ^nns++++=gestures
can ^md+pos+++=can
help ^vb++++=help
in ^in++++=in
the ^ati++++=the
construction ^nn+nom+++=construction
of ^in++++=of
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gestures ^nns++++=gestures
follow ^vb+vprv+++=follow
the ^ati++++=the
speech ^nn++++=speech
and ^cc++++=and
the ^ati++++=the
more ^rbr++++=more
difficult ^jj++++=difficult
and ^cc+phrs+++=and
necessary ^jj++++=necessary
a ^at++++=a
deep ^jj+atrb+++=deep
explanation ^nn+nom+++=explanation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
gestures ^nns++++=gestures
becomes ^vbz++++=becomes
increasingly ^rb++++=increasingly
more ^rbr++++=more
important ^jj++++=important,
, ^zz++++=EXTRAWORD
becoming ^vbg+++xvbg+=becoming
support ^nn++++=support
for ^in++++=for
students ^nns++++=students'
' ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
and ^cc++++=and
reasoning ^nn++++=reasoning
in ^in++++=in
the ^ati++++=the
teaching ^nn++++=teaching
and ^cc++++=and
learning ^nn++++=learning
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
