Goeppertia ^np+++??+=Goeppertia
monophylla ^nn+++??+=monophylla
and ^cc++++=and
G ^zz++++=G.
. ^zz++++=EXTRAWORD
fatimae ^nn+++??+=fatimae
( ^zz++++=(H.Kenn.
h.kenn ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
& ^zz++++=&
J.m.a.braga ^np+++??+=J.M.A.Braga)
) ^zz++++=EXTRAWORD
Borchs ^np+++??+=Borchs.
. ^zz++++=EXTRAWORD
& ^zz++++=&
S.su ^np+++??+=S.Su
rez ^nn+++??+=rez
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
similar ^jj++++=similar
to ^in++++=to
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
with ^in++++=with
few ^ap++++=few
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
hair ^nn++++=hair
on ^in++++=on
the ^ati++++=the
peduncle ^nn+++??+=peduncle,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
G ^zz++++=G.
. ^zz++++=EXTRAWORD
monophylla ^nn+++??+=monophylla
has ^vbz+hvz+vrb++=has
a ^at++++=a
minimally ^rb++++=minimally
pubescent ^jj+atrb+++=pubescent
peduncle ^nn+++??+=peduncle,
, ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
fatimae ^nn++++=fatimae
has ^vbz+hvz+vrb++=has
a ^at++++=a
hirsute ^nn++++=hirsute
one ^cd1++++=one
( ^zz++++=(Saka
saka ^nn++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
