Since ^cs+sub+++=Since
the ^ati++++=the
textbook ^nn++++=textbook
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
the ^ati++++=the
Way ^nn++++=Way
to ^in++++=to
English ^jj+atrb+++=English
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
approaches ^vbz++++=approaches
basic ^jj+atrb+++=basic
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
English ^jj+atrb+++=English
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
presenting ^vbg+++xvbg+=presenting
activities ^nns+nom+++=activities
in ^in++++=in
English ^nn++++=English
and ^cc++++=and
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
their ^pp$+pp3+++=their
level ^nn++++=level
of ^in++++=of
difficulty ^nn++++=difficulty
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
the ^ati++++=the
less ^rbr++++=less
complex ^jj+atrb+++=complex
activities ^nns+nom+++=activities
are ^vb+ber+aux++=are
written ^vpsv++agls+xvbnx+=written
in ^in++++=in
English ^nn++++=English
and ^cc++++=and
the ^ati++++=the
more ^rbr++++=more
complex ^jj+atrb+++=complex
ones ^pn++++=ones
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese.
. ^zz++++=EXTRAWORD
The ^ati++++=The
book ^nn++++=book
starts ^vbz++++=starts
with ^in++++=with
a ^at++++=a
brief ^jj+atrb+++=brief
presentation ^nn+nom+++=presentation
about ^in++++=about
how ^wrb+who+++=how
important ^jj++++=important
and ^cc+phrs+++=and
ordinary ^jj++++=ordinary
the ^ati++++=the
English ^jj+atrb+++=English
language ^nn+nom+++=language
is ^vbz+bez+vrb++=is
in ^in++++=in
our ^pp$+pp1+++=our
daily ^jj+atrb+++=daily
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
a ^at++++=a
description ^nn+nom+++=description
of ^in++++=of
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
volumes ^nns++++=volumes
of ^in++++=of
the ^ati++++=the
collection ^nn+nom+++=collection.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
the ^ati++++=the
presentation ^nn+nom+++=presentation,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
summary ^nn+nom+++=summary
of ^in++++=of
the ^ati++++=the
eight ^cd++++=eight
units ^nns++++=units
of ^in++++=of
the ^ati++++=the
textbook ^nn++++=textbook,
, ^zz++++=EXTRAWORD
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
sections ^nns+nom+++=sections
and ^cc++++=and
contents ^nns++++=contents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
section ^nn+nom+++=section,
, ^zz++++=EXTRAWORD
entitled ^xvbn+++xvbn+=entitled
Tips ^nns++++=Tips
into ^in++++=into
Practice ^nn++++=Practice
, ^zz++++=,
presents ^vbz++++=presents
activities ^nns+nom+++=activities
of ^in++++=of
reading ^xvbg+++xvbg+=reading
and ^cc++++=and
learning ^xvbg+++xvbg+=learning
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
intend ^vb++++=intend
to ^to+vcmp+++=to
build ^vbi++++=build
students ^nns++++=students
confidence ^nn+nom+++=confidence
to ^to+ncmp+++=to
complete ^vbi++++=complete
the ^ati++++=the
exercises ^nns++++=exercises
throughout ^in++++=throughout
the ^ati++++=the
textbook ^nn++++=textbook.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
two ^cd++++=two
pages ^nns++++=pages
regarding ^in++++=regarding
sentences ^nns+nom+++=sentences,
, ^zz++++=EXTRAWORD
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^vbd+++xvbn+=used
in ^in++++=in
class ^nn++++=class
by ^in++++=by
students ^nns++++=students
and ^cc++++=and
teachers ^nns+nom+++=teachers.
. ^zz++++=EXTRAWORD
