Policy ^nn++++=Policy
statements ^nns+nom+++=statements
have ^vb+hv+vrb++=have
an ^at++++=an
immediate ^jj++++=immediate
and ^cc++++=and
a ^at++++=a
historical ^jj+atrb+++=historical
function ^nn+nom+++=function.
. ^zz++++=EXTRAWORD
Immediately ^rb+cnj+++=Immediately,
, ^zz++++=EXTRAWORD
a ^at++++=a
policy ^nn++++=policy
statement ^nn+nom+++=statement
may ^md+pos+++=may
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
a ^at++++=a
special ^jj+atrb+++=special
expression ^nn++++=expression
of ^in++++=of
the ^ati++++=the
chancellor ^npt++++=chancellor
s ^zz++++=s
Richtlinienkompetenz ^np+++??+=Richtlinienkompetenz
( ^zz++++=(
policy ^nn++++=policy-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
power ^nn++++=power
) ^zz++++=)
( ^zz++++=(ST
st ^npt++++=EXTRAWORD
We ^pp1a+pp1+++=WE,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
p.26 ^nn+++??+=p.26
43 ^cd++++=43),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
announcing ^vbg+++xvbg+=announcing
guidelines ^nns+++??+=guidelines
and ^cc++++=and
programmes ^nns++++=programmes
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
to ^in++++=to
discipline ^nn++++=discipline
the ^ati++++=the
entire ^jjb+atrb+++=entire
coalition ^nn+nom+++=coalition
government ^nn+nom+++=government
( ^zz++++=(Korte
korte ^nn+++??+=EXTRAWORD
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
p.456 ^nn+++??+=p.456).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Historically ^rb+cnj+++=Historically,
, ^zz++++=EXTRAWORD
policy ^nn++++=policy
statements ^nns+nom+++=statements
are ^vb+ber+aux++=are
also ^rb++splt++=also
conceived ^vpsv++agls+xvbnx+=conceived
as ^ql++++=as
documents ^nns+nom+++=documents
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
problematisation ^nn+nom+++=problematisation
( ^zz++++=(or
or ^cc++++=EXTRAWORD
not ^xnot++not++=not)
) ^zz++++=EXTRAWORD
of ^in++++=of
particular ^jj+atrb+++=particular
topics ^nns++++=topics
and ^cc++++=and
the ^ati++++=the
language ^nn+nom+++=language
used ^vwbn+++xvbn+=used
become ^vprf+++xvbn+=become
primary ^jj+atrb+++=primary
sources ^nns++++=sources
for ^in++++=for
the ^ati++++=the
interpretation ^nn+nom+++=interpretation
of ^in++++=of
the ^ati++++=the
chancellor ^npt++++=chancellor
s ^zz++++=s
historical ^jj+atrb+++=historical
role ^nn++++=role
( ^zz++++=(KORTE,
korte ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
p.457 ^nn++++=p.457).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
