The ^ati++++=The
vegetation ^nn+nom+++=vegetation
consists ^nns+nom+++=consists
predominantly ^rb++++=predominantly
of ^in++++=of
fields ^nns++++=fields
and ^cc++++=and
high ^jj++++=high-altitude
- ^zz++++=EXTRAWORD
altitude ^nn++++=EXTRAWORD
forests ^nns++++=forests.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
a ^at++++=a
total ^jj+atrb+++=total
area ^nn++++=area
of ^in++++=of
37.512 ^cd++++=37.512
hectares ^nns+++??+=hectares,
, ^zz++++=EXTRAWORD
altitude ^nn++++=altitude
reaching ^vwbg+++xvbg+=reaching
870 ^cd++++=870
meters ^nns++++=meters,
, ^zz++++=EXTRAWORD
temperate ^jj+atrb+++=temperate
climate ^nn+nom+++=climate,
, ^zz++++=EXTRAWORD
with ^in++++=with
hot ^jj+atrb+++=hot
and ^cc+phrs+++=and
rainy ^jj+atrb+++=rainy
summers ^nns+nom+++=summers
and ^cc++++=and
winter ^nn++++=winter
with ^in++++=with
milder ^jjr+atrb+++=milder
temperatures ^nns++++=temperatures
( ^zz++++=(Bellato
bellato ^nn+++??+=EXTRAWORD
& ^zz++++=&
Mendes ^np+++??+=Mendes
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
Garcia ^np++++=Garcia
& ^zz++++=&
pirani ^np++++=Pirani
2003 ^cd++++=2003,
, ^zz++++=EXTRAWORD
infraestrutura ^np++++=Infraestrutura
e ^zz++++=e
meio ^np++++=Meio
ambiente ^np++++=Ambiente
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
