This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
differences ^nns+nom+++=differences
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
with ^in++++=with
the ^ati++++=the
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
region ^nn++++=region,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
Gdp ^np+++??+=GDP
will ^md+prd+++=will
fall ^vb++++=fall
- ^zz++++=-16%
16 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
period ^nn++++=period
( ^zz++++=(Mitchell
mitchell ^np++++=EXTRAWORD
1993:762 ^cd++++=1993:762-764).
- ^zz++++=EXTRAWORD
764 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
impact ^nn++++=impact
in ^in++++=in
the ^ati++++=the
Ecuadorian ^np+++??+=Ecuadorian
economy ^nn++++=economy
was ^vbd+bedz+aux++=was
mainly ^rb++splt++=mainly
registered ^vpsv++agls+xvbnx+=registered
in ^in++++=in
the ^ati++++=the
international ^jj+atrb+++=international
commerce ^nn++++=commerce,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
diminished ^vbd+++xvbn+=diminished
in ^in++++=in
55 ^cd++++=55%
% ^zz++++=EXTRAWORD
by ^in++++=by
1932 ^cd+date+++=1932
( ^zz++++=(Naranjo
naranjo ^nn+++??+=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Within ^in++++=Within
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
article ^nn++++=article
develops ^vbz++++=develops
three ^cd++++=three
themes ^nns++++=themes:
: ^zz++++=EXTRAWORD
economically ^rb++++=economically
active ^jj+atrb+++=active
population ^nn+nom+++=population
and ^cc++++=and
purchasing ^jj+atrb++xvbg+=purchasing
power ^nn++++=power;
; ^zz++++=EXTRAWORD
legal ^jj+atrb+++=legal
context ^nn++++=context
on ^in++++=on
working ^xvbg+++xvbg+=working
conditions ^nns+nom+++=conditions;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
a ^at++++=a
brief ^jj+atrb+++=brief
review ^nn++++=review
on ^in++++=on
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
the ^ati++++=the
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
in ^in++++=in
ecuador ^np++++=Ecuador
and ^cc++++=and
some ^dti++++=some
latin ^jj+atrb+++=Latin
american ^jj+atrb+++=American
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
