After ^cs+sub+++=After
actively ^rb++++=actively
searching ^vbg+++xvbg+=searching
the ^ati++++=the
references ^nns+nom+++=references
of ^in++++=of
the ^ati++++=the
included ^jj+atrb++xvbn+=included
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
seven ^cd++++=seven
extra ^jj+atrb+++=extra
papers ^nns++++=papers
were ^vbd+bed+aux++=were
added ^vpsv++agls+xvbnx+=added,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
totaling ^nn+nom+++=totaling
70 ^cd++++=70
articles ^nns++++=articles
for ^in++++=for
this ^dt+dem+++=this
scoping ^jj+atrb+++=scoping
review ^nn++++=review
analysis ^nn++++=analysis
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
