Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
textbook ^nn++++=textbook
presents ^vbz++++=presents
its ^pp$+it+++=its
eight ^cd++++=eight
units ^nns++++=units,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
encompass ^vbz+++??+=encompass
the ^ati++++=the
main ^jjb+atrb+++=main
contents ^nns++++=contents
to ^to++++=to
be ^vbi+vbi+aux++=be
learned ^vpsv++by+xvbnx+=learned
by ^in++++=by
sixth ^od++++=sixth
grade ^nn++++=grade
students ^nns++++=students
through ^in++++=through
the ^ati++++=the
year ^nn++++=year.
. ^zz++++=EXTRAWORD
The ^ati++++=The
title ^nn++++=title,
, ^zz++++=EXTRAWORD
contents ^nns++++=contents
and ^cc++++=and
discourse ^nn++++=discourse
genres ^vbz+++??+=genres
worked ^vbd+++xvbn+=worked
in ^in++++=in
each ^dt++++=each
of ^in++++=of
them ^pp3o+pp3+++=them
are ^vb+ber+aux++=are
exposed ^vpsv++agls+xvbnx+=exposed
in ^in++++=in
Chart ^nn++++=Chart
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
constructed ^vpsv++agls+xvbnx+=constructed
based ^vbd+++xvbn+=based
on ^in++++=on
the ^ati++++=the
information ^nn+nom+++=information
provided ^vbd+vsua++xvbn+=provided
in ^in++++=in
the ^ati++++=the
textbook ^nn++++=textbook
at ^in++++=at
the ^ati++++=the
beginning ^nn++++=beginning
of ^in++++=of
the ^ati++++=the
units ^nns++++=units.
. ^zz++++=EXTRAWORD
