Most ^ql+emph+++=Most
studies ^nns++++=studies
that ^tht+rel+obj++=that
address ^nns+nom+++=address
the ^ati++++=the
relationships ^nns+nom+++=relationships
between ^in++++=between
legislators ^nns++++=legislators
and ^cc++++=and
local ^jj+atrb+++=local
leaders ^nns+nom+++=leaders
focus ^nn++++=focus
on ^in++++=on
national ^jj+atrb+++=national
representatives ^nns++++=representatives.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
evidence ^nn+nom+++=evidence
of ^in++++=of
the ^ati++++=the
local ^jj+atrb+++=local
brokers ^nns+nom+++=brokers
importance ^nn+nom+++=importance
for ^in++++=for
state ^nn++++=state
representatives ^nns++++=representatives
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
Castro ^np++++=Castro,
, ^zz++++=EXTRAWORD
Anastasia ^np+++??+=Anastasia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nunes ^np+++??+=Nunes
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Melo ^np+++??+=Melo
( ^zz++++=(2011).
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
survey ^vb++++=survey
data ^nns++++=data
from ^in++++=from
twelve ^cd++++=twelve
Brazilian ^jj+atrb+++=Brazilian
states ^nns++++=states,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
authors ^nns++++=authors
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
many ^ap++++=many
legislators ^nns++++=legislators
value ^nn++++=value
connections ^nns+nom+++=connections
with ^in++++=with
local ^jj+atrb+++=local
leaders ^nns+nom+++=leaders
and ^cc++++=and
municipalities ^nns+nom+++=municipalities
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
well ^rb++++=well
voted ^vbd+++xvbn+=voted.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
frequently ^rb++++=frequently
visit ^nn++++=visit
localities ^nns+nom+++=localities,
, ^zz++++=EXTRAWORD
work ^nn++++=work
to ^in++++=to
channel ^npl++++=channel
resources ^nns++++=resources
from ^in++++=from
budget ^nn++++=budget
amendments ^nns+nom+++=amendments
to ^in++++=to
the ^ati++++=the
region ^nn++++=region,
, ^zz++++=EXTRAWORD
satisfy ^vb++++=satisfy
constituents ^nns++++=constituents'
' ^zz++++=EXTRAWORD
requests ^nns++++=requests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
help ^nn++++=help
mayors ^npts++++=mayors
in ^in++++=in
their ^pp$+pp3+++=their
endeavors ^vb++++=endeavors
to ^to+vcmp+++=to
solve ^vbi++++=solve
problems ^nns++++=problems
with ^in++++=with
government ^nn+nom+++=government
agencies ^nns++++=agencies.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
also ^rb++++=also
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
a ^at++++=a
significant ^jj+atrb+++=significant
share ^nn++++=share
of ^in++++=of
state ^nn++++=state
legislators ^nns++++=legislators
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
the ^ati++++=the
most ^ql+emph+++=most
critical ^jj+atrb+++=critical
factor ^nn++++=factor
for ^in++++=for
their ^pp$+pp3+++=their
reelection ^nn+nom+++=reelection
is ^vbz+bez+vrb++=is
their ^pp$+pp3+++=their
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
send ^vbi++++=send
resources ^nns++++=resources
for ^in++++=for
their ^pp$+pp3+++=their
constituencies ^nns++++=constituencies.
. ^zz++++=EXTRAWORD
