The ^ati++++=The
relationship ^nn+nom+++=relationship
between ^in++++=between
these ^dt+dem+++=these
participants ^nns+nom+++=participants
is ^vbz+bez+aux++=is
maintained ^vpsv++agls+xvbnx+=maintained
as ^ql++++=as
long ^jj++++=long
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
mutually ^rb++++=mutually
beneficial ^jj+pred+++=beneficial.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
authors ^nns++++=authors
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
brokers ^nns+nom+++=brokers
disloyalty ^nn+++??+=disloyalty
is ^vbz+bez+vrb++=is
higher ^jjr+pred+++=higher
in ^in++++=in
contexts ^nns++++=contexts
of ^in++++=of
nondominant ^jj+atrb+++=nondominant
clientelist ^nn+nom+++=clientelist
parties ^nns++++=parties
in ^in++++=in
which ^whp+rel+pied++=which
none ^rb++++=none
of ^in++++=of
them ^pp3o+pp3+++=them
has ^vbz+hvz+vrb++=has
exclusive ^jj+atrb+++=exclusive
access ^nn++++=access
to ^in++++=to
state ^nn++++=state
resources ^nns++++=resources
( ^zz++++=(Mu
mu ^nn+++??+=EXTRAWORD
oz ^nnu++++=oz,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Novaes ^np+++??+=Novaes,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Aspinall ^np+++??+=Aspinall
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
such ^abl++++=such
a ^at++++=a
scenario ^nn++++=scenario,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chances ^nns+nom+++=chances
of ^in++++=of
defection ^nn+nom+++=defection
and ^cc++++=and
predatory ^jj+atrb+++=predatory
behavior ^nn++++=behavior
increase ^nn++++=increase
as ^ql++++=as
brokers ^nns+nom+++=brokers
seeking ^vwbg+++xvbg+=seeking
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
material ^nn++++=material
rewards ^vbz++++=rewards
predominate ^nn+nom+++=predominate
in ^in++++=in
the ^ati++++=the
network ^nn++++=network.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
factors ^nns++++=factors
explaining ^vwbg+++xvbg+=explaining
brokers ^nns+nom+++=brokers
loyalty ^nn++++=loyalty
are ^vb+ber+vrb++=are
the ^ati++++=the
volume ^nn++++=volume
of ^in++++=of
candidates ^nns+nom+++=candidates
resources ^nns++++=resources
and ^cc++++=and
their ^pp$+pp3+++=their
prospects ^nns++++=prospects
for ^in++++=for
victory ^nn++++=victory
( ^zz++++=(Aspinall,
aspinall ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
levels ^nns++++=levels
of ^in++++=of
party ^nn++++=party
identification ^nn+nom+++=identification
among ^in++++=among
voters ^nns++++=voters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
programmatic ^jj+atrb+++=programmatic
linkages ^nns+nom+++=linkages
between ^in++++=between
brokers ^nns+nom+++=brokers
and ^cc++++=and
bosses ^nns++++=bosses
( ^zz++++=(Novaes,
novaes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
