Goeppertia ^np+++??+=Goeppertia
monophylla ^nn+++??+=monophylla
is ^vbz+bez+vrb++=is
endemic ^jj+pred+++=endemic
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
in ^in++++=in
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
in ^in++++=in
the ^ati++++=the
States ^nns++++=States
of ^in++++=of
Bahia ^np+++??+=Bahia,
, ^zz++++=EXTRAWORD
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo,
, ^zz++++=EXTRAWORD
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
Paran ^np+++??+=Paran
, ^zz++++=,
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
and ^cc++++=and
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul
( ^zz++++=(Saka
saka ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
N ^zz++++=N
cleo ^nn+++??+=cleo
Curucutu ^np+++??+=Curucutu,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
mainly ^rb++splt++=mainly
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
humid ^jj++++=humid,
, ^zz++++=EXTRAWORD
shaded ^xvbn+++xvbn+=shaded
environments ^nns+nom+++=environments
close ^in+cmpx+++=close
to ^in++++=to
watercourses ^nns++++=watercourses.
. ^zz++++=EXTRAWORD
