The ^ati++++=The
theme ^nn++++=theme
of ^in++++=of
the ^ati++++=the
first ^rb++++=first
course ^nn++++=course
of ^in++++=of
action ^nn++++=action
Scholz ^np+++??+=Scholz
announces ^vbz+vpub+++=announces
is ^vbz+bez+vrb++=is
support ^nn++++=support
to ^in++++=to
Ukraine ^np++++=Ukraine,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
now ^rn+tm+++=now
also ^rb++++=also
includes ^vb++++=includes
arms ^nns++++=arms
delivery ^nn+nom+++=delivery
to ^in++++=to
a ^at++++=a
conflict ^nn++++=conflict
zone ^nn++++=zone,
, ^zz++++=EXTRAWORD
an ^at++++=an
activity ^nn+nom+++=activity
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
hitherto ^rb++splt++=hitherto
been ^vprf+ben+vrb+xvbnx+=been
tabu ^nn+++??+=tabu
in ^in++++=in
Germany ^np++++=Germany.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
identify ^vb++++=identify
this ^dt+dem+++=this
as ^in++++=as
the ^ati++++=the
Germany ^np++++=Germany
as ^in++++=as
military ^jj+atrb+++=military
power ^nn++++=power
discourse ^nn++++=discourse
at ^in++++=at
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
proximal ^nn+nom+++=proximal
not ^xnot++not++=not-yet-spoken.
- ^zz++++=EXTRAWORD
yet ^rb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
spoken ^vprf+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Scholz ^np+++??+=Scholz
picks ^vbz++++=picks
up ^rp++++=up
the ^ati++++=the
watershed ^nn++++=watershed
discourse ^nn++++=discourse
( ^zz++++=(
in ^in++++=in
einer ^jjr+atrb+++=einer
neuen ^jj+++xvbn+=neuen
Zeit ^np+++??+=Zeit
, ^zz++++=,
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
era ^nn++++=era
) ^zz++++=),
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
constructs ^vbz++++=constructs
a ^at++++=a
neue ^&fw++++=neue
Realit ^np+++??+=Realit
t ^zz++++=t
( ^zz++++=(
new ^jj+atrb+++=new
reality ^nn+nom+++=reality
) ^zz++++=)
to ^to++++=to
give ^vbi++++=give
credence ^nn+nom+++=credence
to ^in++++=to
the ^ati++++=the
claim ^nn++++=claim
that ^tht+ncmp+++=that
the ^ati++++=the
policy ^nn++++=policy
shift ^nn++++=shift
in ^in++++=in
arms ^nns++++=arms
delivery ^nn+nom+++=delivery
to ^in++++=to
conflict ^nn++++=conflict
zones ^nns++++=zones
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary.
. ^zz++++=EXTRAWORD
Disagreement ^nn+nom+++=Disagreement
on ^in++++=on
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
forestalled ^vpsv++by+xvbnx+=forestalled
by ^in++++=by
presenting ^xvbg+++xvbg+=presenting
it ^pp3+it+++=it
as ^in++++=as
without ^in++++=without
alternative ^nn++++=alternative,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
dialogically ^rb++++=dialogically
contractive ^jj+atrb+++=contractive
denial ^nn++++=denial
konnte ^nn+++??+=konnte
es ^&fw++++=es
keine ^&fw++++=keine
andere ^nn+++??+=andere
Antwort ^np+++??+=Antwort
geben ^vbd+++xvbn+=geben
( ^zz++++=(
there ^ex+pex+++=there
could ^md+pos+++=could
be ^vb+be+vrb++=be
no ^at++++=no
other ^ap++++=other
response ^nn++++=response
) ^zz++++=).
. ^zz++++=EXTRAWORD
