Principal ^jjb++++=Principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
theories ^nns++++=theories
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
important ^jj+atrb+++=important
reference ^nn+nom+++=reference
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
relationships ^nns+nom+++=relationships
between ^in++++=between
brokers ^nns+nom+++=brokers
and ^cc++++=and
bosses ^nns++++=bosses.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
theories ^nns++++=theories
are ^vb+ber+vrb++=are
a ^at++++=a
common ^jj+atrb+++=common
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework
in ^in++++=in
Political ^jj+atrb+++=Political
Science ^nn+nom+++=Science,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
works ^nn++++=works
inspired ^vwbn+++xvbn+=inspired
by ^in++++=by
rational ^jj+atrb+++=rational
choice ^nn++++=choice
theory ^nn++++=theory,
, ^zz++++=EXTRAWORD
to ^to++++=to
describe ^vbi++++=describe
situations ^nns+nom+++=situations
in ^in++++=in
which ^whp+rel+pied++=which
one ^cd1++++=one
actor ^nn++++=actor
the ^ati++++=the
principal ^nn++++=principal
provides ^vbz+vsua+++=provides
incentives ^nns++++=incentives
for ^in++++=for
another ^dt++++=another
actor ^nn++++=actor
the ^ati++++=the
agent(s ^nns+++??+=agent(s)
) ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
decisions ^nns++++=decisions
and ^cc++++=and
pursue ^vb++++=pursue
courses ^nns++++=courses
of ^in++++=of
action ^nn++++=action
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
convergent ^jj+pred+++=convergent
with ^in++++=with
the ^ati++++=the
principal ^jjb+atrb+++=principal
s ^zz++++=s
goals ^nns++++=goals
and ^cc++++=and
interests ^nns++++=interests
( ^zz++++=(Gailmard,
gailmard ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
premise ^nn++++=premise
that ^tht+rel+obj++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
conflict ^nn++++=conflict
of ^in++++=of
purposes ^nns++++=purposes
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
minimize ^vb++++=minimize
agency ^nn++++=agency
losses ^nns++++=losses
and ^cc++++=and
discourage ^nn+nom+++=discourage
opportunistic ^jj+atrb+++=opportunistic
behavior ^nn++++=behavior
and ^cc++++=and
the ^ati++++=the
defection ^nn+nom+++=defection
of ^in++++=of
brokers ^nns+nom+++=brokers,
, ^zz++++=EXTRAWORD
principals ^nns+nom+++=principals
distribute ^vb++++=distribute
rewards ^nns++++=rewards
and ^cc++++=and
punishments ^nns+nom+++=punishments
in ^in++++=in
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
promises ^nns++++=promises
of ^in++++=of
career ^nn++++=career
advancement ^nn+nom+++=advancement,
, ^zz++++=EXTRAWORD
positions ^nns+nom+++=positions
in ^in++++=in
the ^ati++++=the
public ^jj+atrb+++=public
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
advantages ^nns+nom+++=advantages
for ^in++++=for
local ^jj+atrb+++=local
allies ^nns++++=allies
in ^in++++=in
recruiting ^xvbg+++xvbg+=recruiting
candidates ^nns+nom+++=candidates,
, ^zz++++=EXTRAWORD
financial ^jj+atrb+++=financial
resources ^nns++++=resources
at ^in++++=at
election ^nn+nom+++=election
time ^nn++++=time,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
private ^jj+atrb+++=private
benefits ^nns++++=benefits
( ^zz++++=(Camp,
camp ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
novaes ^np++++=Novaes,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
