The ^ati++++=The
modernization ^nn+nom+++=modernization
of ^in++++=of
Ecuadorian ^np+++??+=Ecuadorian
institutions ^nns+nom+++=institutions
came ^vbd+++xvbn+=came
hand ^nn++++=hand
in ^in++++=in
hand ^nn++++=hand
with ^in++++=with
the ^ati++++=the
visit ^nn++++=visit
of ^in++++=of
the ^ati++++=the
Kemmerer ^np+nom++??+=Kemmerer
Mission ^nn++++=Mission,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
advised ^vbd+vpub++xvbn+=advised
the ^ati++++=the
government ^nn+nom+++=government
on ^in++++=on
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
the ^ati++++=the
Central ^jj+atrb+++=Central
Bank ^nn++++=Bank
of ^in++++=of
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
centralized ^jj++++=centralized
the ^ati++++=the
monetary ^jj+atrb+++=monetary
issue ^nn++++=issue
and ^cc++++=and,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
this ^dt+dem+++=this
institution ^nn+nom+++=institution,
, ^zz++++=EXTRAWORD
several ^ap++++=several
control ^nn++++=control
organisms ^nns+nom+++=organisms
were ^vbd+bed+aux++=were
created ^vpsv++agls+xvbnx+=created
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Comptroller ^npt+nom+++=Comptroller
General ^jj++++=General
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
and ^cc++++=and
the ^ati++++=the
Superintendency ^np+++??+=Superintendency
of ^in++++=of
Banks ^nns++++=Banks.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gold ^nn++++=gold
standard ^nn++++=standard
was ^vbd+bedz+aux++=was
implemented ^vpsv++agls+xvbnx+=implemented
as ^ql++++=as
the ^ati++++=the
main ^jjb+atrb+++=main
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
A ^at++++=A
good ^jj+atrb+++=good
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
countries ^nns++++=countries
of ^in++++=of
the ^ati++++=the
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
region ^nn++++=region
went ^vbd+++xvbn+=went
through ^in++++=through
similar ^jj+atrb+++=similar
processes ^nns+nom+++=processes,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
national ^jj+atrb+++=national
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
of ^in++++=of
control ^nn++++=control
institutions ^nns+nom+++=institutions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
restoration ^nn+nom+++=restoration
of ^in++++=of
the ^ati++++=the
gold ^nn++++=gold
standard ^nn++++=standard.
. ^zz++++=EXTRAWORD
