By ^in++++=By
directing ^xvbg+++xvbg+=directing
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
health ^nn++++=health
actions ^nns+nom+++=actions,
, ^zz++++=EXTRAWORD
both ^abx++++=both
Oliveira ^np+++??+=Oliveira,
, ^zz++++=EXTRAWORD
Martins ^np+++??+=Martins
and ^cc++++=and
Bracht ^np+++??+=Bracht
( ^zz++++=(2015a)
2015a ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Lopes ^np+++??+=Lopes,
, ^zz++++=EXTRAWORD
Nogueira ^np+++??+=Nogueira
and ^cc++++=and
Rocha ^np+++??+=Rocha
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
verified ^vpbn+vpub++xvbn+=verified
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
training ^nn++++=training
actions ^nns+nom+++=actions
and ^cc++++=and
specific ^jj+atrb+++=specific
training ^nn++++=training
of ^in++++=of
school ^nn++++=school
agents ^nns++++=agents
to ^in++++=to
work ^nn++++=work
with ^in++++=with
this ^dt+dem+++=this
theme ^nn++++=theme.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Bagnara ^np+++??+=Bagnara
and ^cc++++=and
Fensterseifer ^np+nom++??+=Fensterseifer
( ^zz++++=(2019),
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Pe ^np+++??+=PE
teachers ^nns+nom+++=teachers
end ^nn++++=end
up ^rp++++=up
inserting ^vbg+++xvbg+=inserting
themselves ^ppls+pp3+++=themselves
in ^in++++=in
teaching ^xvbg+++xvbg+=teaching
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing
the ^ati++++=the
intentions ^nns+nom+++=intentions
of ^in++++=of
the ^ati++++=the
curricular ^nn+++??+=curricular
component ^nn++++=component,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
showing ^vbg+vprv++xvbg+=showing
the ^ati++++=the
relevance ^nn+nom+++=relevance
of ^in++++=of
conducting ^xvbg+++xvbg+=conducting
studies ^nns++++=studies
on ^in++++=on
the ^ati++++=the
theme ^nn++++=theme,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
the ^ati++++=the
propagation ^nn+nom+++=propagation
and ^cc++++=and
dissemination ^nn+nom+++=dissemination
of ^in++++=of
an ^at++++=an
expanded ^jj+atrb+++=expanded
view ^nn++++=view
of ^in++++=of
health ^nn++++=health.
. ^zz++++=EXTRAWORD
