This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^od++++=first
version ^nn++++=version
of ^in++++=of
the ^ati++++=the
proposed ^jj+atrb++xvbn+=proposed
quality ^nn+nom+++=quality
assessment ^nn+nom+++=assessment
tool ^nn++++=tool
for ^in++++=for
Sccs ^np+++??+=SCCS
and ^cc++++=and
Scri ^np+++??+=SCRI.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
five ^cd++++=five
studies ^nns++++=studies:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
master ^npt++++=master
s ^zz++++=s
degree ^nn++++=degree
dissertation ^nn+nom+++=dissertation,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
published ^vbd+++xvbn+=published
article ^nn++++=article,
, ^zz++++=EXTRAWORD
two ^cd++++=two
projects ^nns++++=projects
of ^in++++=of
a ^at++++=a
scientific ^jj+atrb+++=scientific
initiation ^nn+nom+++=initiation
program ^nn+++??+=program
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
published ^vbd+++xvbn+=published),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
thesis ^nn++++=thesis
and ^cc++++=and
one ^cd1++++=one
article ^nn++++=article
submitted ^vbd+vpub++xvbn+=submitted
for ^in++++=for
publication ^nn+nom+++=publication
( ^zz++++=(20
20 ^cd++++=EXTRAWORD
23 ^cd++++=23).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
Noc ^np+++??+=NOC
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
a ^at++++=a
journal ^nn++++=journal,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
undergone ^vprf+++xvbn+=undergone
peer ^nn++++=peer
review ^nn++++=review.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
worth ^in++++=worth
noting ^vb+vprv++xvbg+=noting
that ^tht+vcmp+++=that
the ^ati++++=the
instrument ^nn+nom+++=instrument
was ^vbd+bedz+aux++=was
elaborated ^vpsv++agls+xvbnx+=elaborated
via ^in++++=via
Delphi ^np+++??+=Delphi
method ^nn++++=method,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
tested ^vpsv++agls+xvbnx+=tested
in ^in++++=in
many ^ap++++=many
systematic ^jj+atrb+++=systematic
reviews ^nns++++=reviews
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
modified ^vpsv++agls+xvbnx+=modified
over ^in++++=over
this ^dt+dem+++=this
process ^nns+nom+++=process
( ^zz++++=(25)
25 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=.
Besides ^rb++++=Besides
the ^ati++++=the
critics ^nns++++=critics
the ^ati++++=the
Nos ^&fw++++=NOS
receives ^vbz++++=receives,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
used ^md"++pmd"++=used
to ^to++++=to
evaluate ^nn+nom+++=evaluate
innumerous ^jj+atrb+++=innumerous
studies ^nns++++=studies
included ^vbd+++xvbn+=included
in ^in++++=in
published ^vbd+++xvbn+=published
systematic ^jj+atrb+++=systematic
reviews ^nns++++=reviews,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
confirming ^vbg+vpub+++=confirming
it ^pp3+it+++=it
s ^zz++++=s
validity ^nn+nom+++=validity
and ^cc++++=and
applicability ^nn+nom+++=applicability.
. ^zz++++=EXTRAWORD
