Most ^ql+emph+++=Most
patients ^nns++++=patients
reported ^vbd+vpub++xvbn+=reported
that ^tht+vcmp+++=that
eating ^vbg+++xvbg+=eating
was ^vbd+bedz+vrb++=was
a ^at++++=a
problem ^nn++++=problem
caused ^vwbn+++xvbn+=caused
by ^in++++=by
lack ^nn++++=lack
of ^in++++=of
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
After ^in++++=After
one ^cd1++++=one
year ^nn++++=year,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
that ^tht+vcmp+++=that
high ^jj+atrb+++=high
scores ^nns++++=scores
were ^vbd+bed+aux++=were
attributed ^vpsv++agls+xvbnx+=attributed
for ^in++++=for
the ^ati++++=the
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
chew ^vbi++++=chew
food ^nn++++=food,
, ^zz++++=EXTRAWORD
obtaining ^vbg+++xvbg+=obtaining
a ^at++++=a
median ^jjb+atrb+++=median
value ^nn++++=value
of ^in++++=of
10 ^cd++++=10
for ^in++++=for
all ^abn++++=all
foods ^nns++++=foods
and ^cc++++=and
a ^at++++=a
lower ^jjr++++=lower
average ^jj++++=average
for ^in++++=for
coconut ^nn++++=coconut
flesh ^nn++++=flesh
( ^zz++++=(7.2),
7.2 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
hard ^jj+atrb+++=hard
food ^nn++++=food,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
firm ^jj+atrb+++=firm
texture ^nn++++=texture
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
as ^ql++++=as
difficult ^jj++++=difficult
to ^to+jcmp+++=to
chew ^vbi++++=chew
by ^in++++=by
users ^nns++++=users
of ^in++++=of
dentures35 ^nn+++??+=dentures35.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
worth ^in++++=worth
mentioning ^vb+vpub++xvbg+=mentioning
that ^tht+vcmp+++=that
all ^abn++++=all
the ^ati++++=the
foods ^nns++++=foods
are ^vb+ber+aux++=are
routinely ^jj+pred+++=routinely
consumed ^vpsv++by+xvbn+=consumed
by ^in++++=by
indigenous ^jj+atrb+++=indigenous
peoples ^nns++++=peoples
and ^cc++++=and
are ^vb+ber+aux++=are
also ^rb++splt++=also
used ^vpsv++agls+xvbnx+=used
and ^cc+phrs+++=and
found ^vpsv++agls+xvbn+=found
in ^in++++=in
the ^ati++++=the
diets ^nns++++=diets
of ^in++++=of
people ^nns++++=people
living ^vwbg+++xvbg+=living
in ^in++++=in
urban ^jj+atrb+++=urban
centers ^nns+nom+++=centers.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
result ^nn++++=result
corroborates ^nns+nom+++=corroborates
previous ^jj+atrb+++=previous
study ^nn++++=study
that ^tht+rel+subj++=that
found ^vbd+vprv++xvbn+=found
an ^at++++=an
improvement ^nn+nom+++=improvement
in ^in++++=in
the ^ati++++=the
self ^nn++++=self-assessment
- ^zz++++=EXTRAWORD
assessment ^nn+nom+++=EXTRAWORD
of ^in++++=of
chewing ^xvbg+++xvbg+=chewing
function ^nn+nom+++=function
after ^in++++=after
the ^ati++++=the
preparation ^nn+nom+++=preparation
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
dentures36 ^nn++++=dentures36.
. ^zz++++=EXTRAWORD
