Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
virtual ^jj+atrb+++=virtual
snowball ^nn+++??+=snowball
sampling ^nn+nom+++=sampling
method ^nn++++=method
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
disseminate ^nn+nom+++=disseminate
a ^at++++=a
link ^nn++++=link
to ^in++++=to
access ^nn++++=access
the ^ati++++=the
survey ^nn++++=survey
on ^in++++=on
the ^ati++++=the
social ^jj+atrb+++=social
network ^nn++++=network
Instagram ^np+++??+=Instagram.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
referral ^jj+atrb+++=referral
technique ^nn++++=technique,
, ^zz++++=EXTRAWORD
known ^j+++xvbn+=known
as ^ql++++=as
viral ^jj+atrb+++=viral
strategy ^nn++++=strategy,
, ^zz++++=EXTRAWORD
consisted ^j+++xvbn+=consisted
of ^in++++=of
sending ^xvbg+++xvbg+=sending
a ^at++++=a
message ^nn+nom+++=message
presenting ^vwbg+++xvbg+=presenting
the ^ati++++=the
research ^nn++++=research
and ^cc++++=and
requesting ^vbg+++xvbg+=requesting
that ^dt+dem+++=that
it ^pp3+it+++=it
be ^vb+be+aux++=be
shared ^vpsv++agls+xvbnx+=shared
with ^in++++=with
the ^ati++++=the
recipient ^nn++++=recipient's
's ^$++++=EXTRAWORD
network ^nn++++=network
of ^in++++=of
contacts ^nns++++=contacts.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
university ^npl+nom+++=university
students ^nns++++=students
from ^in++++=from
any ^dti++++=any
health ^nn++++=health
course ^nn++++=course,
, ^zz++++=EXTRAWORD
educational ^jj+atrb+++=educational
institution ^nn+nom+++=institution
or ^cc++++=or
location ^nn+nom+++=location
could ^md+pos+++=could
access ^vb++++=access
and ^cc++++=and
answer ^nn++++=answer
the ^ati++++=the
questionnaire ^nn++++=questionnaire.
. ^zz++++=EXTRAWORD
