This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
cross ^jj++++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj+atrb+++=EXTRAWORD
web ^nn++++=web
survey ^vb++++=survey
study ^nn++++=study
with ^in++++=with
a ^at++++=a
descriptive ^jj+atrb+++=descriptive
and ^cc+phrs+++=and
correlational ^jj+atrb+++=correlational
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
For ^in++++=For
greater ^jjr+atrb+++=greater
methodological ^jj+atrb+++=methodological
rigor ^nn++++=rigor,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
work ^nn++++=work
follows ^vbz+vprv+tht0++=follows
the ^ati++++=the
guidelines ^nn++++=guidelines
proposed ^vwbn+vsua++xvbn+=proposed
by ^in++++=by
Strengthening ^xvbg+++xvbg+=Strengthening
the ^ati++++=the
Reporting ^nn++++=Reporting
of ^in++++=of
Observational ^jj+atrb+++=Observational
Studies ^nns++++=Studies
in ^in++++=in
Epidemiology ^np+++??+=Epidemiology
( ^zz++++=(STROBE)
strobe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Cevallos
cevallos ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
research ^nn++++=research
setting ^xvbg+++xvbg+=setting
covered ^vprf+++xvbn+=covered
three ^cd++++=three
geographic ^jj+atrb+++=geographic
regions ^nns++++=regions
of ^in++++=of
Brazil ^np++++=Brazil
( ^zz++++=(Northeast,
northeast ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Southeast ^np+++??+=Southeast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
South ^nr+pl+++=South).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
collection ^nn+nom+++=collection
was ^vbd+bedz+vrb++=was
online ^nn+++??+=online
and ^cc++++=and
took ^vbd+++xvbn+=took
place ^nn++++=place
from ^in++++=from
September ^nr+nom+++=September
15 ^cd++++=15
to ^in++++=to
October ^nr++++=October
14 ^cd++++=14,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
over ^in++++=over
a ^at++++=a
period ^nn++++=period
of ^in++++=of
30 ^cd++++=30
days ^nns++++=days.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sample ^nn++++=sample
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
undergraduate ^nn+nom+++=undergraduate
university ^npl+nom+++=university
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
health ^nn++++=health
area ^nn++++=area.
. ^zz++++=EXTRAWORD
