2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Assembly ^nn++++=Assembly
and ^cc++++=and
construction ^nn+nom+++=construction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
behaviours ^nns+++??+=behaviours
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
considered ^vpsv++agls+xvbnx+=considered
concern ^nn++++=concern
situations ^nns+nom+++=situations
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
individually ^rb++++=individually
and ^cc++++=and
or ^cc++++=or
in ^in++++=in
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
look ^vb++++=look
for ^in++++=for
objects ^nns++++=objects
with ^in++++=with
the ^ati++++=the
intention ^nn+nom+++=intention
of ^in++++=of
building ^xvbg+++xvbg+=building
something ^pn++++=something
on ^in++++=on
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
a ^at++++=a
project ^nn++++=project,
, ^zz++++=EXTRAWORD
a ^at++++=a
goal ^nn++++=goal
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
achieve ^vb++++=achieve
without ^in++++=without
meeting ^xvbg+++xvbg+=meeting
particular ^jj++++=particular
" ^zz++++="hitches".
hitches ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
examples ^nns++++=examples
are ^vb+ber+aux++=are
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
the ^ati++++=the
construction ^nn+nom+++=construction
of ^in++++=of
a ^at++++=a
marble ^nn++++=marble
track ^nn++++=track
and ^cc++++=and
the ^ati++++=the
assembly ^nn++++=assembly
of ^in++++=of
different ^jj+atrb+++=different
materials ^nns+nom+++=materials
to ^to++++=to
create ^vb++++=create
a ^at++++=a
wigwam ^nn++++=wigwam.
. ^zz++++=EXTRAWORD
