Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
floristic ^jj++++=floristic
survey ^vb++++=survey,
, ^zz++++=EXTRAWORD
herbs ^nns++++=herbs
are ^vb+ber+vrb++=are
the ^ati++++=the
predominant ^jj+atrb+++=predominant
habit ^nn++++=habit
( ^zz++++=(108
108 ^cd++++=EXTRAWORD
spp. ^nn+++??+=spp.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
differs ^nns+nom+++=differs
from ^in++++=from
other ^ap++++=other
plant ^nn++++=plant
surveys ^nns++++=surveys
( ^zz++++=(Silva
silva ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
Gadelha ^np+++??+=Gadelha-Neto
- ^zz++++=EXTRAWORD
neto ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018)
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
have ^vb+hv+vrb++=have
woody ^jj+atrb++??+=woody
plants ^nns++++=plants
as ^in++++=as
the ^ati++++=the
predominant ^jj+atrb+++=predominant
habit ^nn++++=habit.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
factors ^nns++++=factors
may ^md+pos+++=may
indicate ^nn+nom+++=indicate
why ^wrb+who+++=why
this ^dt+dem+++=this
habit ^nn++++=habit
prevailed ^vbd+++xvbn+=prevailed:
: ^zz++++=EXTRAWORD
the ^ati++++=the
environment ^nn+nom+++=environment
may ^md+pos+++=may
be ^vb+be+vrb++=be
favorable ^&fw++++=favorable,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
favors ^nns++++=favors
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
species ^nn++++=species
or ^cc++++=or
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
scarcity ^nn+nom+++=scarcity
of ^in++++=of
collections ^nns+nom+++=collections
focused ^vbd+++xvbn+=focused
on ^in++++=on
the ^ati++++=the
herbaceous ^jj+atrb+++=herbaceous
stratum ^nn++++=stratum
in ^in++++=in
other ^ap++++=other
studies ^nns++++=studies
with ^in++++=with
similar ^jj+atrb+++=similar
environments ^nns+nom+++=environments.
. ^zz++++=EXTRAWORD
