The plants exhibit a reddish coloration, with leaves that are
equally spaced and more densely arranged in the upper portions.
Leaf shape ranges from obovate to ovate, with serrulate margins
near the apex and bordered by three to five rows
of elongated cells; upper leaf cells are rhombic, while basal
cells are quadrate. The costae are percurrent to excurrent. This
species is corticolous, epixylous, and terricolous within the Atlantic Forest,
occurring from lowland to montane regions, and has been recorded
in the states of Bahia, Minas Gerais, and Rio de
Janeiro, as well as throughout South America and Africa. In
this study, the accepted species name follows the classification provided
by Flora do Brasil 2020 (2021).
