To ^in++++=To
analyze ^jj+atrb++??+=analyze
internal ^jj+atrb+++=internal
consistency ^nn++++=consistency,
, ^zz++++=EXTRAWORD
Cronbach ^np++++=Cronbach's
's ^$++++=EXTRAWORD
alpha ^nn++++=alpha
and ^cc++++=and
Mcdonald ^np++++=McDonald's
's ^$++++=EXTRAWORD
omega ^nn+++??+=omega
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used,
, ^zz++++=EXTRAWORD
with ^in++++=with
values ^nns++++=values
greater ^jjr++++=greater
than ^in++++=than
or ^cc++++=or
equal ^jj++++=equal
to ^in++++=to
0.70 ^nn+++??+=0.70
considered ^vwbn+vprv++xvbn+=considered
acceptable ^jj++++=acceptable,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
corrected ^vbd+++xvbn+=corrected
item ^nn++++=item-total
- ^zz++++=EXTRAWORD
total ^jj+atrb+++=EXTRAWORD
correlation ^nn++++=correlation
( ^zz++++=(Fornell
fornell ^nn++++=EXTRAWORD
& ^zz++++=&
larcker ^np++++=Larcker,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
