Since ^cs+sub+++=Since
the ^ati++++=the
results ^nns++++=results
above ^jjb++++=above
refer ^vb++++=refer
especially ^rb++++=especially
to ^in++++=to
sporadic ^jj+atrb+++=sporadic
Cfms ^np+++??+=CFMs,
, ^zz++++=EXTRAWORD
some ^dti++++=some
other ^ap++++=other
studies ^nns++++=studies
that ^tht+rel+obj++=that
analyze ^nn+++??+=analyze
permanent ^jj++++=permanent
versus ^in++++=versus
sporadic ^jj+atrb+++=sporadic
capital ^nn++++=capital
controls ^nns++++=controls
provide ^vb+vsua+++=provide
a ^at++++=a
measure ^nn++++=measure
of ^in++++=of
their ^pp$+pp3+++=their
relative ^jj+atrb+++=relative
effectiveness ^nn++++=effectiveness.
. ^zz++++=EXTRAWORD
Permanent ^jj+atrb+++=Permanent
capital ^nn++++=capital
controls ^nns++++=controls
were ^vbd+bed+vrb++=were
superior ^jj+pred+++=superior
to ^in++++=to
sporadic ^jj+atrb+++=sporadic
capital ^nn++++=capital
controls ^nns++++=controls
in ^in++++=in
boosting ^xvbg+++xvbg+=boosting
economic ^jj+atrb+++=economic
growth ^nn++++=growth
and ^cc++++=and
reducing ^jj+atrb++xvbg+=reducing
financial ^jj+atrb+++=financial
risks ^nns++++=risks.
. ^zz++++=EXTRAWORD
Permanent ^jj+atrb+++=Permanent
capital ^nn++++=capital
controls ^nns++++=controls
also ^rb++++=also
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
stronger ^jjr+atrb+++=stronger
co ^nn++++=co-movement
- ^zz++++=EXTRAWORD
movement ^nn++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
different ^jj+atrb+++=different
classes ^nns++++=classes
of ^in++++=of
assets ^nns++++=assets/debts
subject ^nn++++=subject
to ^in++++=to
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
higher ^jjr+atrb+++=higher
effectiveness ^nn++++=effectiveness
in ^in++++=in
avoiding ^xvbg+++xvbg+=avoiding
evasion ^nn+++??+=evasion.
. ^zz++++=EXTRAWORD
Klein ^np++++=Klein
( ^zz++++=(2012)
2012 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Fern ^np+++??+=Fern
ndez ^nn+++??+=ndez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
conduct ^vb++++=conduct
the ^ati++++=the
main ^jjb+atrb+++=main
studies ^nns++++=studies
from ^in++++=from
which ^whp+rel+pied++=which
one ^cd1++++=one
can ^md+pos+++=can
draw ^vb++++=draw
this ^dt+dem+++=this
conclusion ^nn++++=conclusion.
. ^zz++++=EXTRAWORD
