While ^cs+sub+++=While
each ^dt++++=each
formulation ^nn++++=formulation
preserves ^nns++++=preserves
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
meaning ^nn++++=meaning
established ^vbd+vprv++xvbn+=established
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
deletes ^vbz+++??+=deletes
other ^ap++++=other
parts ^nns++++=parts
and ^cc++++=and
adds ^vbz+vpub+++=adds
new ^jj+atrb+++=new
aspects ^nns++++=aspects
of ^in++++=of
meaning ^xvbg+++xvbg+=meaning
( ^zz++++=(Heritage
heritage ^nn++++=EXTRAWORD
and ^cc++++=and
Watson ^np++++=Watson,
, ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
129 ^cd++++=129).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
re ^in++++=re
exive ^nn+++??+=exive
relationship ^nn++++=relationship
between ^in++++=between
rst ^nn+++??+=rst
and ^cc++++=and
second ^od++++=second
versions ^nns++++=versions:
: ^zz++++=EXTRAWORD
Formulations ^nns++++=Formulations
make ^vb++++=make
meanings ^nns++++=meanings
explicit ^jj++++=explicit
which ^whp+who+++=which
were ^vbd+bed+vrb++=were
implicit ^jj+pred+++=implicit
in ^in++++=in
the ^ati++++=the
prior ^jj+atrb+++=prior
version ^nn++++=version
( ^zz++++=(or
or ^cc+cls+++=EXTRAWORD
which ^whp+who+++=which
are ^vb+ber+aux++=are
at ^in++++=at
least ^rbt++++=least
treated ^vbd+++xvbn+=treated
as ^ql++++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
implicated ^vpsv++agls+xvbnx+=implicated
in ^in++++=in
it ^pp3+it+++=it),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
local ^jj+atrb+++=local
meaning ^jj+atrb++xvbg+=meaning
rests ^nns++++=rests
itself ^ppl++++=itself
in ^in++++=in
part ^nn++++=part
on ^in++++=on
the ^ati++++=the
versions ^nns++++=versions
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
meant ^vpsv++agls+xvbnx+=meant
to ^to+vcmp+++=to
replace ^vbi++++=replace.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
studying ^jj+atrb++xvbg+=studying
semantic ^jj+atrb+++=semantic
properties ^nns++++=properties
of ^in++++=of
formulations ^nns++++=formulations,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
attend ^vbi++++=attend
both ^abx++++=both
to ^in++++=to
the ^ati++++=the
sequential ^nn+++??+=sequential
organization ^nn++++=organization
and ^cc++++=and
the ^ati++++=the
precise ^jj+atrb+++=precise
linguistic ^jj+atrb+++=linguistic
design ^nn++++=design
of ^in++++=of
the ^ati++++=the
formulation ^nn++++=formulation.
. ^zz++++=EXTRAWORD
deppermann ^np++++=Deppermann
( ^zz++++=(2011,
2011 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
122 ^cd++++=122)
) ^zz++++=EXTRAWORD
