Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
descriptive ^jj++++=descriptive
and ^cc++++=and
Cia ^np+++??+=CIA
research ^nn++++=research
based ^vwbn+++xvbn+=based
on ^in++++=on
data ^nns++++=data
from ^in++++=from
Corifa ^np+++??+=CorIFA
were ^vbd+bed+aux++=were
presented ^vpsv++agls+xvbnx+=presented
to ^to++++=to
illustrate ^vbi++++=illustrate
the ^ati++++=the
contributions ^nns++++=contributions
that ^tht+rel+obj++=that
the ^ati++++=the
corpus ^nn++++=corpus
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
provided ^vprf+++xvbnx+=provided
for ^in+ppvb+++=for
researchers ^nns+++??+=researchers
interested ^jj++++=interested
in ^in++++=in
learner ^nn++++=learner
interlanguage ^nn+++??+=interlanguage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
studies ^nns++++=studies
pinpointed ^nn+++??+=pinpointed
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper
serve ^vb++++=serve
to ^to++++=to
reinforce ^vbi++++=reinforce
the ^ati++++=the
claim ^nn++++=claim
that ^tht+ncmp+++=that
compiling ^nn++++=compiling
and ^cc++++=and
observing ^vbg+vprv++xvbg+=observing
a ^at++++=a
learner ^nn++++=learner
corpus ^nn++++=corpus
can ^md+pos+++=can
be ^vb+be+vrb++=be
an ^at++++=an
invaluable ^jj+atrb+++=invaluable
resource ^nn++++=resource
for ^in++++=for
language ^nn++++=language
teachers ^nns++++=teachers
keen ^jj++++=keen
to ^to+jcmp+++=to
enhance ^vbi++++=enhance
their ^pp$+pp3+++=their
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
learners ^nns++++=learners'
' ^zz++++=EXTRAWORD
output ^nn++++=output,
, ^zz++++=EXTRAWORD
enabling ^vbg+++xvbg+=enabling
them ^pp3o+pp3+++=them
to ^to++++=to
make ^vbi++++=make
more ^rbr++++=more
accurate ^jj+atrb+++=accurate
pedagogical ^jj+atrb+++=pedagogical
decisions ^nns++++=decisions
for ^in++++=for
their ^pp$+pp3+++=their
classes ^nns++++=classes.
. ^zz++++=EXTRAWORD
