Most ^ql+emph+++=Most
( ^zz++++=(91.4%)
91.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
respondents ^nns++++=respondents
selected ^vwbn+++xvbn+=selected
a ^at++++=a
positive ^jj+atrb+++=positive
word ^nn++++=word
to ^to++++=to
describe ^vbi++++=describe
their ^pp$+pp3+++=their
perception ^nn++++=perception
of ^in++++=of
science ^nn++++=science,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
knowledge ^nn++++=knowledge
( ^zz++++=(44.0%)
44.0 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
popular ^jj++++=popular,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
progress ^nn++++=progress
( ^zz++++=(28.7%).
28.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
more ^rbr++++=more
positive ^jj+atrb+++=positive
view ^nn++++=view
of ^in++++=of
science ^nn++++=science
was ^vbd+bedz+aux++=was
held ^vpsv++by+xvbnx+=held
by ^in++++=by
men ^nns++++=men
( ^zz++++=(94.2%),
94.2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
in ^in++++=in
private ^jj+atrb+++=private
schools ^nns++++=schools
( ^zz++++=(94.5%),
94.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
enrolled ^jj+++xvbn+=enrolled
in ^in++++=in
high ^jj+atrb+++=high
school ^nn++++=school
( ^zz++++=(92.0%)
92.0 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
those ^dt+dem+++=those
with ^in++++=with
at ^in++++=at
least ^ql++++=least
one ^cd1++++=one
university ^npl++++=university-educated
- ^zz++++=EXTRAWORD
educated ^vbd+++xvbn+=EXTRAWORD
parent ^nn++++=parent
( ^zz++++=(92.8%).
92.8% ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
