Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
identifying ^jj+atrb++xvbg+=identifying
sub ^nn++++=sub-centralities
- ^zz++++=EXTRAWORD
centralities ^nns+++??+=EXTRAWORD
improves ^vbz++++=improves
the ^ati++++=the
knowledge ^nn++++=knowledge
relating ^vwbg+++xvbg+=relating
microeconomic ^nn+++??+=microeconomic
development ^nn++++=development
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
firm ^jj+atrb+++=firm
cost ^nn++++=cost
structure ^nn++++=structure
( ^zz++++=(congestion,
congestion ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
labor ^nn+++??+=labor
force ^nn++++=force
access ^nn++++=access,
, ^zz++++=EXTRAWORD
land ^nn++++=land
prices ^nns++++=prices,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
workers ^nns++++=workers
welfare ^nn++++=welfare
and ^cc++++=and
productivity ^nn++++=productivity
( ^zz++++=(spatial
spatial ^jj+atrb+++=EXTRAWORD
segregation ^nn++++=segregation,
, ^zz++++=EXTRAWORD
commuting ^nn+++??+=commuting,
, ^zz++++=EXTRAWORD
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
labor ^nn+++??+=labor
supply ^nn++++=supply).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Sbd ^np+++??+=SBD
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
public ^jj+atrb+++=public
policy ^nn++++=policy
stimulating ^vwbg+++xvbg+=stimulating
the ^ati++++=the
creation ^nn++++=creation
of ^in++++=of
new ^jj+atrb+++=new
business ^nn++++=business
subcenters ^nns+++??+=subcenters,
, ^zz++++=EXTRAWORD
reducing ^vbg+++xvbg+=reducing
congestions ^nns+++??+=congestions
( ^zz++++=(approximating
approximating ^vbg+++xvbg+=EXTRAWORD
firms ^nns++++=firms
to ^in++++=to
workers ^nns++++=workers),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
balancing ^nn++++=balancing
land ^nn++++=land
prices ^nns++++=prices
spatially ^rb++++=spatially
( ^zz++++=(less
less ^rbr++++=EXTRAWORD
pressure ^nn++++=pressure
on ^in++++=on
prices ^nns++++=prices
in ^in++++=in
the ^ati++++=the
Cbd ^np+++??+=CBD
region ^nn++++=region),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reshaping ^vbg+++xvbg+=reshaping
public ^jj+atrb+++=public
transport ^nn++++=transport
and ^cc++++=and
taxation ^nn++++=taxation
patterns ^nns++++=patterns.
. ^zz++++=EXTRAWORD
