Data ^nns++++=Data
analysis ^nn++++=analysis
To ^to++++=To
check ^vbi+vprv+++=check
the ^ati++++=the
sampling ^nn++++=sampling
sufficiency ^nn++++=sufficiency
and ^cc++++=and
estimate ^nn++++=estimate
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
species ^nn++++=species
potentially ^rb++++=potentially
present ^jj++++=present,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
species ^nns++++=species
richness ^nn++++=richness
estimators ^nns+++??+=estimators
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used:
: ^zz++++=EXTRAWORD
Bootstrap ^np+++??+=Bootstrap,
, ^zz++++=EXTRAWORD
Jackknife ^np+++??+=Jackknife
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
Jackknife ^np+++??+=Jackknife
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
Chao ^np+++??+=Chao
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
Chao ^np+++??+=Chao
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ice ^nn++++=ICE.
. ^zz++++=EXTRAWORD
Calculations ^nns++++=Calculations
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
the ^ati++++=the
Estimates ^nns++++=EstimateS
9.1 ^cd++++=9.1
( ^zz++++=(Colwell
colwell ^nn+++??+=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
estimator ^nn+++??+=estimator
curve ^nn++++=curve
was ^vbd+bedz+aux++=was
plotted ^vpsv++agls+xvbnx+=plotted
together ^rb++++=together
with ^in++++=with
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
species ^nns++++=species
curve ^nn++++=curve.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+dem+++=this
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
all ^abn++++=all
treatments ^nns++++=treatments
were ^vbd+bed+aux++=were
counted ^vpsv++agls+xvbnx+=counted
together ^rb++++=together
( ^zz++++=(each
each ^dt++++=EXTRAWORD
sample ^nn++++=sample
= ^zz++++==
total ^jj++++=total
spiders ^vbz+++??+=spiders
collected ^vbd+++xvbn+=collected
monthly ^jj+atrb+++=monthly
per ^nnu++++=per
treatment ^nn++++=treatment).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
verified ^vpsv++agls+xvbnx+=verified
whether ^cs+who+++=whether
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
significant ^jj+atrb+++=significant
differences ^nns++++=differences
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.05 ^nn+++??+=0.05)
) ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
collected ^vbd+++xvbn+=collected
individuals ^nns++++=individuals
between ^in++++=between
treatments ^nns++++=treatments,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
Shapiro ^np+++??+=Shapiro-wilk
- ^zz++++=EXTRAWORD
wilk ^nn+++??+=EXTRAWORD
test ^nn++++=test,
, ^zz++++=EXTRAWORD
Levene ^np+++??+=Levene
test ^nn++++=test,
, ^zz++++=EXTRAWORD
Anova ^np+++??+=ANOVA
test ^nn++++=test,
, ^zz++++=EXTRAWORD
post ^nn++++=post-hoc
- ^zz++++=EXTRAWORD
