Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
in ^in++++=in
2 ^zz++++=2
stages ^nns++++=stages.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
started ^vbd+++xvbn+=started
with ^in++++=with
a ^at++++=a
pilot ^nn++++=pilot
sample ^nn++++=sample
consisting ^vwbg+++xvbg+=consisting
of ^in++++=of
45 ^cd++++=45
adolescents ^nns++++=adolescents
( ^zz++++=(mean
mean ^jj+atrb+++=EXTRAWORD
age ^nn++++=age
= ^zz++++==
16 ^cd++++=16,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
were ^vbd+bed+aux++=were
invited ^vpsv++agls+xvbnx+=invited
to ^to++++=to
participate ^vbi++++=participate
in ^in++++=in
the ^ati++++=the
online ^nn+++??+=online
study ^nn++++=study
via ^in++++=via
social ^jj+atrb+++=social
media ^nns++++=media,
, ^zz++++=EXTRAWORD
Whatsapp ^np+++??+=WhatsApp
contacts ^nns++++=contacts.
. ^zz++++=EXTRAWORD
After ^in++++=After
receiving ^xvbg+++xvbg+=receiving
approval ^nn++++=approval
from ^in++++=from
the ^ati++++=the
research ^nn++++=research
ethics ^nn++++=ethics
committee ^nn++++=committee
of ^in++++=of
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn++++=University
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
( ^zz++++=(No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
4.526.802 ^cd++++=4.526.802),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
designed ^vbd+++xvbn+=designed
an ^at++++=an
online ^nn+++??+=online
study ^nn++++=study
using ^vwbg+++xvbg+=using
Google ^np+++??+=Google
forms ^nns++++=forms.
. ^zz++++=EXTRAWORD
The ^ati++++=The
online ^nn+++??+=online
study ^nn++++=study
began ^vbd+++xvbn+=began
with ^in++++=with
details ^nns++++=details
of ^in++++=of
the ^ati++++=the
study ^nn++++=study's
's ^$++++=EXTRAWORD
purpose ^nn++++=purpose
and ^cc++++=and
requirements ^nns++++=requirements,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
an ^at++++=an
informed ^jj+atrb++xvbn+=informed
consent ^nn++++=consent
form ^nn++++=form.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
participants ^nns++++=participants
did ^vbd+dod+aux++=did
not ^xnot++not++=not
give ^vb++++=give
their ^pp$+pp3+++=their
informed ^jj+atrb++xvbn+=informed
consent ^nn++++=consent
to ^to++++=to
participate ^vbi++++=participate,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
not ^xnot++not++=not
complete ^vb++++=complete
the ^ati++++=the
online ^nn+++??+=online
study ^nn++++=study.
. ^zz++++=EXTRAWORD
The ^ati++++=The
eligibility ^nn++++=eligibility
criterion ^nn++++=criterion
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
between ^in++++=between
12 ^cd++++=12
and ^cc++++=and
18 ^cd++++=18
years ^nns++++=years
of ^in++++=of
age ^nn++++=age
and ^cc++++=and
have ^vb+hv+vrb++=have
account ^nn++++=account
on ^in++++=on
any ^dti++++=any
social ^jj+atrb+++=social
network ^nn++++=network.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
( ^zz++++=(pilot
pilot ^nn++++=EXTRAWORD
version[n=45 ^nn+++??+=version[n=45]
] ^zz++++=EXTRAWORD
and ^cc++++=and
final ^jj+atrb+++=final
version ^nn++++=version
[ ^zz++++=[n=261])
n=261 ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
Declaration ^nn++++=Declaration
of ^in++++=of
Helsinki ^np+++??+=Helsinki
as ^in++++=as
a ^at++++=a
statement ^nn++++=statement
of ^in++++=of
ethical ^jj+atrb+++=ethical
principles ^nns++++=principles
for ^in++++=for
medical ^jj+atrb+++=medical
research ^nn++++=research
involving ^jj+atrb+++=involving
human ^jj+atrb+++=human
subjects ^nns++++=subjects.
. ^zz++++=EXTRAWORD
