Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
conservation ^nn+++??+=conservation
of ^in++++=of
forest ^nn++++=forest
fragments ^nns++++=fragments
is ^vbz+bez+vrb++=is
extremely ^rb+amp+++=extremely
important ^jj+pred+++=important
for ^in++++=for
the ^ati++++=the
maintenance ^nn++++=maintenance
of ^in++++=of
species ^nn++++=species,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
propagation ^nn++++=propagation.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
anthropic ^nn+++??+=anthropic
activity ^nn++++=activity
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
removing ^jj+++xvbg+=removing
these ^dt+dem+++=these
propagules ^nns+++??+=propagules
to ^in++++=to
other ^ap++++=other
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fauna ^nn++++=fauna
alone ^rb++++=alone
already ^rb++++=already
contributes ^vbz++++=contributes
to ^in++++=to
the ^ati++++=the
dispersion ^nn++++=dispersion.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
study ^nn++++=study
by ^in++++=by
Neto ^np+++??+=Neto
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
after ^in++++=after
analyzing ^nn+++??+=analyzing
the ^ati++++=the
seed ^nn++++=seed
bank ^nn++++=bank
of ^in++++=of
abandoned ^jj+atrb++xvbn+=abandoned
eucalyptus ^nn++++=eucalyptus
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
close ^jj++++=close
to ^to++++=to
preserved ^vbi++++=preserved
fragments ^nns++++=fragments,
, ^zz++++=EXTRAWORD
concluded ^vb+++xvbn+=concluded
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
can ^md+pos+++=can
become ^vb++++=become
areas ^nns++++=areas
favorable ^&fw++++=favorable
to ^in++++=to
the ^ati++++=the
natural ^jj+atrb+++=natural
regeneration ^nn++++=regeneration
of ^in++++=of
native ^jj+atrb+++=native
species ^nns++++=species,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
this ^dt+dem+++=this
proximity ^nn++++=proximity.
. ^zz++++=EXTRAWORD
In ^in++++=In
view ^nn++++=view
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
through ^in++++=through
a ^at++++=a
low ^jj+atrb+++=low
financial ^jj+atrb+++=financial
cost ^nn++++=cost
assessment ^nn++++=assessment
of ^in++++=of
the ^ati++++=the
soil ^nn++++=soil
seed ^nn++++=seed
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
cataloging ^nn+++??+=cataloging
the ^ati++++=the
floristic ^nn+++??+=floristic
composition ^nn++++=composition
and ^cc++++=and
the ^ati++++=the
density ^nn++++=density
of ^in++++=of
species ^nn++++=species,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
define ^vbi++++=define
strategies ^nns+++??+=strategies
for ^in++++=for
ecological ^nn+++??+=ecological
succession ^nn++++=succession
in ^in++++=in
areas ^nns++++=areas
that ^tht+rel+obj++=that
need ^nn++++=need
restoration ^nn++++=restoration
( ^zz++++=(Martins
martins ^np++++=EXTRAWORD
2001 ^cd++++=2001,
, ^zz++++=EXTRAWORD
brancalion ^np++++=Brancalion
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
