The ^ati++++=The
live ^vb++++=live-caught
- ^zz++++=EXTRAWORD
caught ^xvbn+++xvbn+=EXTRAWORD
insects ^nns++++=insects
are ^vb+ber+aux++=are
permanently ^rb++splt++=permanently
mounted ^vpsv++agls+xvbnx+=mounted
on ^in++++=on
glass ^nn++++=glass
microscope ^nn++++=microscope
slides ^nns++++=slides
and ^cc++++=and
preserved ^vpsv++agls+xvbn+=preserved
in ^in++++=in
either ^dtx++++=either
Berlese ^np+++??+=Berlese
medium ^jjb++++=medium
or ^cc++++=or
Canada ^np++++=Canada
Balsam ^np+++??+=Balsam,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
fossil ^nn++++=fossil
specimens ^nns++++=specimens
are ^vb+ber+aux++=are
kept ^vpsv++agls+xvbnx+=kept
in ^rb+phrv+++=in
plastic ^nn++++=plastic
vials ^nns+++??+=vials.
. ^zz++++=EXTRAWORD
All ^abn++++=All
Types ^nns++++=types
Are ^vb+ber+aux++=are
Labelled ^vwbn+++xvbn+=labelled
With ^in++++=with
Colour ^nn++++=colour-coded
 ^zz++++=EXTRAWORD
Coded ^vpsv++agls+xvbn+=EXTRAWORD
Labels ^nns++++=labels.
 ^zz++++=EXTRAWORD
