Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
intracellular ^nn+++??+=intracellular
ice ^nn++++=ice
crystal ^nn++++=crystal
formation ^nn++++=formation
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
damaging ^jj+atrb++xvbg+=damaging
event ^nn++++=event
during ^in++++=during
the ^ati++++=the
cryopreservation ^nn+++??+=cryopreservation
process ^nn++++=process.
. ^zz++++=EXTRAWORD
The ^ati++++=The
damage ^nn++++=damage
is ^vbz+bez+vrb++=is
irreversible ^jj+pred+++=irreversible.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
can ^md+pos+++=can
occur ^vb++++=occur
during ^in++++=during
freezing ^nn++++=freezing
or ^cc++++=or
thawing ^nn+++??+=thawing
and ^cc++++=and
may ^md+pos+++=may
lead ^vb++++=lead
to ^in++++=to
cell ^nn++++=cell
wall ^nn++++=wall
rupture ^nn++++=rupture,
, ^zz++++=EXTRAWORD
epidermal ^nn+++??+=epidermal
rupture ^nn++++=rupture,
, ^zz++++=EXTRAWORD
protoplast ^nn+++??+=protoplast
egress ^nn++++=egress,
, ^zz++++=EXTRAWORD
anomalous ^jj+atrb+++=anomalous
nuclei ^nns++++=nuclei
of ^in++++=of
surviving ^xvbg+++xvbg+=surviving
explants ^nns+++??+=explants,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
explant ^jj+atrb++??+=explant
death ^nn++++=death
( ^zz++++=(Kaviani
kaviani ^nn+++??+=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Anatomical ^jj+atrb+++=Anatomical
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
one ^cd1++++=one
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
by ^in++++=by
Wesleysmith ^np+++??+=WesleySmith
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014,
2014 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
report ^vb++++=report
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding
the ^ati++++=the
interactions ^nns++++=interactions
of ^in++++=of
water ^nn++++=water
content ^nn++++=content
and ^cc++++=and
ice ^nn++++=ice
structure ^nn++++=structure
through ^in++++=through
studies ^nns++++=studies
for ^in++++=for
the ^ati++++=the
atomization ^nn+++??+=atomization
of ^in++++=of
cryogenic ^nn+++??+=cryogenic
processes ^nns++++=processes
and ^cc++++=and
cell ^nn++++=cell
survival ^nn++++=survival
since ^cs+sub+++=since
ice ^nn++++=ice
crystal ^nn++++=crystal
size ^nn++++=size
and ^cc++++=and
cell ^nn++++=cell
damage ^nn++++=damage
can ^md+pos+++=can
have ^vb+hv+vrb++=have
late ^jj+atrb+++=late
effects ^nns++++=effects
on ^in++++=on
cell ^nn++++=cell
death ^nn++++=death.
. ^zz++++=EXTRAWORD
