The ^ati++++=The
search ^nn++++=search
retrieved ^vbd+++xvbn+=retrieved
148,667 ^cd++++=148,667
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
distributed ^xvbn+++xvbn+=distributed
across ^in+pl+++=across
at ^in++++=at
least ^ql++++=least
933 ^cd++++=933
journals ^nns++++=journals
( ^zz++++=(some
some ^dti++++=EXTRAWORD
rare ^jj+atrb+++=rare
entries ^nns++++=entries
didn ^nn+++??+=didn
t ^zz++++=t
have ^vb+hv+vrb++=have
an ^at++++=an
Issn ^np+++??+=ISSN).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
130,312 ^cd++++=130,312
articles ^nns++++=articles
were ^vbd+bed+aux++=were
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
698 ^cd++++=698
journals ^nns++++=journals
systematically ^rb++++=systematically
indexed ^vpsv++by+xvbn+=indexed
by ^in++++=by
Lilacs ^np+++??+=LILACS
in ^in++++=in
the ^ati++++=the
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
126,774 ^cd++++=126,774
of ^in++++=of
these ^dt+pdem+++=these
were ^vbd+bed+aux++=were
signed ^vpsv++agls+xvbnx+=signed
articles ^nns++++=articles
published ^vbd+++xvbn+=published
in ^in++++=in
568 ^cd++++=568
journals ^nns++++=journals
with ^in++++=with
at ^in++++=at
least ^ql++++=least
50 ^cd++++=50
signed ^vprf+++xvbn+=signed
articles ^nns++++=articles
during ^in++++=during
years ^nns++++=years
2015 ^cd++++=2015
to ^to++++=to
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
