Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
regarding ^in++++=regarding
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
remote ^jj+atrb+++=remote
work ^nn++++=work,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
widening ^xvbg+++xvbg+=widening
the ^ati++++=the
existing ^jj+atrb++xvbg+=existing
inequalities ^nns++++=inequalities,
, ^zz++++=EXTRAWORD
in ^in++++=in
favor ^nn++++=favor
of ^in++++=of
wealthier ^jjr++++=wealthier,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
educated ^jj+++xvbn+=educated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
formalized ^jj+atrb++??+=formalized
workers ^nns++++=workers
in ^in++++=in
the ^ati++++=the
labor ^nn+++??+=labor
market ^nn++++=market
and ^cc++++=and
imposing ^jj+++xvbg+=imposing
on ^in++++=on
the ^ati++++=the
others ^aps++++=others
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
choose ^vb++++=choose
between ^in++++=between
employment ^nn++++=employment
and ^cc++++=and
income ^nn++++=income
versus ^in++++=versus
risk ^nn++++=risk
of ^in++++=of
contagion ^nn++++=contagion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
provide ^vb+vsua+++=provide
insights ^nns++++=insights
that ^tht+rel+subj++=that
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++by+xvbnx+=considered
by ^in++++=by
policy ^nn++++=policy
makers ^nns++++=makers,
, ^zz++++=EXTRAWORD
since ^in++++=since
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
on ^in++++=on
the ^ati++++=the
labor ^nn+++??+=labor
market ^nn++++=market
will ^md+prd+++=will
remain ^vb++++=remain,
, ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
to ^in++++=to
some ^dti++++=some
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
return ^nn++++=return
of ^in++++=of
economic ^jj+atrb+++=economic
activity ^nn++++=activity.
. ^zz++++=EXTRAWORD
