Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
from ^in++++=from
in ^in++++=in
vitro ^nn+++??+=vitro
plants ^nns++++=plants
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
squamata ^vb+++??+=squamata
presented ^vbd+++xvbn+=presented
several ^ap++++=several
structural ^jj+atrb+++=structural
differences ^nns++++=differences
in ^in++++=in
comparison ^nn++++=comparison
with ^in++++=with
plants ^nns++++=plants
in ^in++++=in
acclimatization ^nn+++??+=acclimatization:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
subepidermal ^nn+++??+=subepidermal
fibres ^nns++++=fibres,
, ^zz++++=EXTRAWORD
subtler ^nn+++??+=subtler
dorsiventral ^nn+++??+=dorsiventral
mesophyll ^nn+++??+=mesophyll,
, ^zz++++=EXTRAWORD
undifferentiated ^nn+++??+=undifferentiated
bundle ^nn++++=bundle
sheath ^nn++++=sheath
extension ^nn++++=extension,
, ^zz++++=EXTRAWORD
fewer ^ap++++=fewer
vascular ^nn+++??+=vascular
system ^nn++++=system
fibres ^nns++++=fibres,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
aquiferous ^nns+++??+=aquiferous
parenchyma ^nn+++??+=parenchyma.
. ^zz++++=EXTRAWORD
The ^ati++++=The
aquiferous ^nns+++??+=aquiferous
tissue ^nn++++=tissue
remains ^nns++++=remains
in ^in++++=in
the ^ati++++=the
leaves ^nns++++=leaves
from ^in++++=from
pineapple ^nn++++=pineapple
( ^zz++++=(Ananas
ananas ^nns+++??+=EXTRAWORD
comosus ^nns+++??+=comosus
L ^zz++++=L.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
grown ^vprf+++xvbn+=grown
in ^in++++=in
vitro ^nn+++??+=vitro
( ^zz++++=(Barboza
barboza ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
qualitative ^jj+atrb+++=qualitative
alterations ^nns++++=alterations
like ^in++++=like
those ^dt+dem+++=those
observed ^jj+++xvbn+=observed
in ^in++++=in
V ^zz++++=V.
. ^zz++++=EXTRAWORD
squamata ^nn+++??+=squamata
are ^vb+ber+vrb++=are
no ^at++++=no
ordinary ^jj+atrb+++=ordinary
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
mainly ^rb++++=mainly
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
stomatal ^nn++++=stomatal
crypts ^nns++++=crypts
and ^cc++++=and
subepidermal ^nn++++=subepidermal
fibres ^nns++++=fibres.
. ^zz++++=EXTRAWORD
