Most ^ql+emph+++=Most
scientific ^jj+atrb+++=scientific
journals ^nns++++=journals
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
are ^vb+ber+aux++=are
owned ^vpsv++by+xvbnx+=owned
by ^in++++=by
universities ^nns++++=universities
( ^zz++++=(Fischman
fischman ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
Beigel ^np+++??+=Beigel
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
raising ^jj+++xvbg+=raising
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
journals ^nns++++=journals
in ^in++++=in
Lilacs ^np+++??+=LILACS
being ^vwbg+beg++xvbg+=being
even ^rb++++=even
more ^ql++++=more
endogenous ^nns+++??+=endogenous
than ^in++++=than
those ^dt+dem+++=those
in ^in++++=in
Medline ^np+++??+=MEDLINE.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
the ^ati++++=the
region ^nn++++=region
has ^vbz+hvz+vrb++=has
a ^at++++=a
longstanding ^nn+++??+=longstanding
tradition ^nn++++=tradition
of ^in++++=of
including ^in++++=including
endogeneity ^nn+++??+=endogeneity
in ^in++++=in
journal ^nn++++=journal
evaluations ^nns+++??+=evaluations
( ^zz++++=(Amorim
amorim ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Rozemblum ^np+++??+=Rozemblum
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Paz ^np+++??+=Paz
Enrique ^np+++??+=Enrique
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Boas ^np+++??+=Boas
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
significant ^jj+atrb+++=significant
endogeneity ^nn+++??+=endogeneity
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
criteria ^nns++++=criteria
for ^in++++=for
journal ^nn++++=journal
selection ^nn++++=selection
in ^in++++=in
Lilacs ^np+++??+=LILACS
( ^zz++++=(Suga
suga ^nn+++??+=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
overall ^jjb+atrb+++=overall
endogeneity ^nn+++??+=endogeneity
of ^in++++=of
Lilacs ^np+++??+=LILACS-indexed
- ^zz++++=EXTRAWORD
indexed ^vbd+++xvbn+=EXTRAWORD
journals ^nns++++=journals
should ^md+nec+++=should,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
result ^nn++++=result
from ^in++++=from
the ^ati++++=the
tension ^nn++++=tension
between ^in++++=between
these ^dt+dem+++=these
two ^cd++++=two
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
to ^to++++=to
describe ^vbi++++=describe
both ^abx++++=both
authorship ^nn++++=authorship
concentration ^nn++++=concentration
indexes ^nns+++??+=indexes
among ^in++++=among
health ^nn++++=health
sciences ^nns++++=sciences
journals ^nns++++=journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
Lilacs ^np+++??+=LILACS,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
compare ^vbi++++=compare
them ^pp3o+pp3+++=them
to ^to++++=to
what ^wdt+who+++=what
Scanff ^np+++??+=Scanff
And ^cc++++=and
Colleagues ^nns++++=colleagues
 ^zz++++=(2021)
021 ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Found ^vbd+vprv++xvbn+=found
In ^in++++=in
Medline ^np++++=MEDLINE.
 ^zz++++=EXTRAWORD
