Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+aux++=was
to ^to++++=to
perform ^vbi++++=perform
the ^ati++++=the
translation ^nn++++=translation,
, ^zz++++=EXTRAWORD
cross ^jj++++=cross-cultural
- ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=EXTRAWORD
adaptation ^nn++++=adaptation
and ^cc++++=and
construct ^vb++++=construct
validation ^nn+++??+=validation
of ^in++++=of
the ^ati++++=the
sbs ^np++++=SBS
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^vbd+++xvbn+=used
with ^in++++=with
brazilian ^jj+atrb+++=Brazilian
adolescents ^nns++++=adolescents.
. ^zz++++=EXTRAWORD
