This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
apply ^vbi++++=apply
not ^xnot++not++=not
only ^rb+down+++=only
to ^in++++=to
health ^nn++++=health
sciences ^nns++++=sciences
journals ^nns++++=journals
from ^in++++=from
Latin ^jj+atrb+++=Latin
America ^np++++=America
and ^cc++++=and
the ^ati++++=the
Caribbean ^np+++??+=Caribbean,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
to ^in++++=to
those ^dt+dem+++=those
from ^in++++=from
other ^ap++++=other
regions ^nns++++=regions.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
journals ^nns++++=journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
Medline ^np+++??+=MEDLINE
can ^md+pos+++=can
have ^vb+hv+vrb++=have
similar ^jj+atrb+++=similar
authorship ^nn++++=authorship
concentration ^nn++++=concentration
indexes ^nns+++??+=indexes
as ^ql++++=as
those ^dt+dem+++=those
indexed ^jj+++xvbn+=indexed
in ^in++++=in
Lilacs ^np+++??+=LILACS,
, ^zz++++=EXTRAWORD
adjusting ^jj+++xvbg+=adjusting
for ^in++++=for
journal ^nn++++=journal
size ^nn++++=size,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
these ^dt+dem+++=these
indexes ^nns+++??+=indexes
can ^md+pos+++=can
be ^vb+be+aux++=be
reasonably ^rb++splt++=reasonably
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
have ^vbi++++=have
a ^at++++=a
similar ^jj+atrb+++=similar
distribution ^nn++++=distribution
in ^in++++=in
other ^ap++++=other
reputable ^jj+atrb+++=reputable
bibliographic ^nn+++??+=bibliographic
databases ^nns+++??+=databases,
, ^zz++++=EXTRAWORD
at ^in++++=at
least ^rbt++++=least
in ^in++++=in
the ^ati++++=the
health ^nn++++=health
sciences ^nns++++=sciences.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
even ^rb++++=even
the ^ati++++=the
relative ^jj+atrb+++=relative
abundance ^nn++++=abundance
of ^in++++=of
non ^&fw++++=non
English ^jj++++=English-language
- ^zz++++=EXTRAWORD
language ^nn++++=EXTRAWORD
journals ^nns++++=journals
in ^in++++=in
the ^ati++++=the
outliers ^nns++++=outliers
of ^in++++=of
Scanff ^np+++??+=Scanff
and ^cc++++=and
colleagues ^nns++++=colleagues
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
larger ^jjr+atrb+++=larger
journals ^nns++++=journals
publishing ^vwbg+++xvbg+=publishing
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
verifying ^nn+++??+=verifying
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
remains ^vbz++++=remains
an ^at++++=an
open ^jj+atrb+++=open
question ^nn++++=question
whether ^cs+who+++=whether
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
authorship ^nn++++=authorship
concentration ^nn++++=concentration
indexes ^nns+++??+=indexes
is ^vbz+bez+vrb++=is
the ^ati++++=the
same ^ap++++=same
in ^in++++=in
disciplines ^nns++++=disciplines
other ^ap++++=other
than ^in++++=than
the ^ati++++=the
health ^nn++++=health
sciences ^nns++++=sciences.
. ^zz++++=EXTRAWORD
