One ^cd1++++=One
possibility ^nn++++=possibility
of ^in++++=of
ascertaining ^xvbg+++xvbg+=ascertaining
the ^ati++++=the
low ^jj+atrb+++=low
productivity ^nn++++=productivity
is ^vbz+bez+aux++=is
considering ^vbg+++xvbgx+=considering
the ^ati++++=the
years ^nns++++=years
of ^in++++=of
study ^nn++++=study
of ^in++++=of
workers ^nns++++=workers
in ^in++++=in
each ^ppls++++=each
Sbd ^np+++??+=SBD.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
9 ^zz++++=9
allows ^vbz++++=allows
an ^at++++=an
evaluation ^nn++++=evaluation
of ^in++++=of
the ^ati++++=the
schooling ^nn++++=schooling
composition ^nn++++=composition
of ^in++++=of
workers ^nns++++=workers
in ^in++++=in
each ^ppls++++=each
Sbd ^np+++??+=SBD
and ^cc++++=and
a ^at++++=a
correlation ^nn++++=correlation
with ^in++++=with
this ^dt+dem+++=this
wage ^nn++++=wage
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
with ^in++++=with
little ^jj+atrb+++=little
rigor ^nn++++=rigor.
. ^zz++++=EXTRAWORD
In ^in++++=In
Pinheiros ^np+++??+=Pinheiros,
, ^zz++++=EXTRAWORD
42 ^cd++++=42%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
employees ^nns++++=employees
have ^vb+hv+aux++=have
at ^in++++=at
least ^rbt++++=least
finished ^xvbn+++xvbn+=finished
high ^np++++=high
school ^nn++++=school
( ^zz++++=(complete
complete ^jj+atrb+++=EXTRAWORD
high ^jj+atrb+++=high
school ^nn++++=school
+ ^zz++++=+
incomplete ^jj+atrb+++=incomplete
higher ^jjr+atrb+++=higher
education ^nn++++=education),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
34 ^cd++++=34%
% ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
at ^in++++=at
least ^rbt++++=least
a ^at++++=a
completed ^jj+++xvbn+=completed
college ^npl++++=college
degree ^nn++++=degree.
. ^zz++++=EXTRAWORD
Itaim ^np+++??+=Itaim
Bibi ^np+++??+=Bibi
( ^zz++++=(higher
higher ^jjr+atrb+++=EXTRAWORD
wage ^nn++++=wage
composition ^nn++++=composition
of ^in++++=of
workers ^nns++++=workers
amongst ^in++++=amongst
all ^abn++++=all
identified ^jj+++xvbn+=identified
Sbds ^np+++??+=SBDs)
) ^zz++++=EXTRAWORD
presents ^vbz++++=presents
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
workers ^nns++++=workers
with ^in++++=with
at ^in++++=at
least ^rbt++++=least
complete ^jj+atrb+++=complete
high ^jj+atrb+++=high
school ^nn++++=school
and ^cc++++=and
40.4 ^cd++++=40.4%
% ^zz++++=EXTRAWORD
with ^in++++=with
at ^in++++=at
least ^rbt++++=least
a ^at++++=a
bachelor ^nn++++=bachelor
s ^zz++++=s
degree ^nn++++=degree.
. ^zz++++=EXTRAWORD
