This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
only ^ap+down+++=only
plant ^nn++++=plant
that ^tht+rel+subj++=that
produces ^vbz++++=produces
mescaline ^nn+++??+=mescaline,
, ^zz++++=EXTRAWORD
since ^in++++=since
several ^ap++++=several
South ^nr+pl+++=South
American ^jj+atrb+++=American
species ^nns++++=species
of ^in++++=of
the ^ati++++=the
genus ^nns+++??+=genus
Trichocereus ^np+++??+=Trichocereus
also ^rb++++=also
synthesize ^jj+++??+=synthesize
this ^dt+dem+++=this
alkaloid ^nn+++??+=alkaloid
( ^zz++++=(Cassels
cassels ^nns+++??+=EXTRAWORD
& ^zz++++=&
S ^zz++++=S
ez ^nn+++??+=ez
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Lophophora ^np+++??+=Lophophora
williamsii ^nn+++??+=williamsii
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
associated ^jj+++xvbn+=associated
with ^in++++=with
cultural ^jj+atrb+++=cultural
practices ^nns++++=practices
of ^in++++=of
shamanism ^nn+++??+=shamanism,
, ^zz++++=EXTRAWORD
divine ^jj+atrb+++=divine
rites ^nns++++=rites,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dream ^nn++++=dream
visions ^nns++++=visions
among ^in++++=among
the ^ati++++=the
Mexican ^jj+atrb+++=Mexican
peoples ^nns++++=peoples
of ^in++++=of
the ^ati++++=the
Tarahumaras ^np+++??+=Tarahumaras,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coras ^np++++=Coras
and ^cc++++=and
especially ^rb++++=especially
the ^ati++++=the
huicholes ^np++++=Huicholes
( ^zz++++=(Clavijo
clavijo ^nn++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
