From ^in++++=From
these ^dt+dem+++=these
results ^nns++++=results,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
inferred ^vpsv++agls+xvbnx+=inferred
that ^dt+dem+++=that
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
fruit ^nn++++=fruit
collection ^nn++++=collection
and ^cc++++=and
seed ^nn++++=seed
extraction ^nn++++=extraction
in ^in++++=in
V ^zz++++=V.
. ^zz++++=EXTRAWORD
reitzii ^nn+++??+=reitzii
is ^vbz+bez+vrb++=is
an ^at++++=an
important ^jj+atrb+++=important
factor ^nn++++=factor
to ^to++++=to
observed ^vbn+vprv++xvbn+=observed.
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
the ^ati++++=the
highest ^jjt+atrb+++=highest
percentage ^nn++++=percentage
of ^in++++=of
germination ^nn+++??+=germination
and ^cc++++=and
Gsi ^np+++??+=GSI
are ^vb+ber+aux++=are
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
lower ^jjr+atrb+++=lower
water ^nn++++=water
content ^nn++++=content,
, ^zz++++=EXTRAWORD
greater ^jjr+atrb+++=greater
accumulation ^nn++++=accumulation
of ^in++++=of
reserves ^nns++++=reserves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
embryo ^nn++++=embryo
maturity ^nn++++=maturity.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
factors ^nns++++=factors
were ^vbd+bed+aux++=were
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
germination ^nn+++??+=germination
in ^in++++=in
Moringa ^np+++??+=Moringa
oleifera ^nn+++??+=oleifera
Lam ^np+++??+=Lam.
. ^zz++++=EXTRAWORD
seeds ^nns++++=seeds
( ^zz++++=(Agustini
agustini ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
that ^tht+rel+obj++=that
corroborate ^nn+++??+=corroborate
with ^in++++=with
those ^dt+dem+++=those
observed ^vpsv++by+xvbn+=observed
by ^in++++=by
Guimar ^np+++??+=Guimar
es ^&fw++++=es
& ^zz++++=&
Barbosa ^np+++??+=Barbosa
( ^zz++++=(2007),
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
increase ^nn++++=increase
in ^in++++=in
Gsi ^np+++??+=GSI
in ^in++++=in
Machaerium ^np+++??+=Machaerium
brasiliensi ^nn+++??+=brasiliensi
Vogel ^np+++??+=Vogel
seeds ^nns++++=seeds
is ^vbz+bez+aux++=is
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
the ^ati++++=the
fruit ^nn++++=fruit
maturation ^nn++++=maturation
process ^nn++++=process.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
natural ^jj+atrb+++=natural
desiccation ^nn+++??+=desiccation
determines ^vbz++++=determines
the ^ati++++=the
quality ^nn++++=quality
and ^cc++++=and
vigour ^nn++++=vigour
of ^in++++=of
the ^ati++++=the
seeds ^nns++++=seeds,
, ^zz++++=EXTRAWORD
an ^at++++=an
important ^jj+atrb+++=important
factor ^nn++++=factor
to ^to++++=to
be ^vbi+vbi+aux++=be
considered ^vpsv++agls+xvbnx+=considered
in ^in++++=in
conservation ^nn+++??+=conservation
programs ^nns++++=programs,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
use ^nn++++=use
in ^in++++=in
cryopreservation ^nn++++=cryopreservation.
. ^zz++++=EXTRAWORD
