Pragmatically ^np+++??+=Pragmatically
speaking ^vwbg+++xvbg+=speaking,
, ^zz++++=EXTRAWORD
like ^in++++=like
tag ^nn++++=tag
questions ^nns++++=questions,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
consider ^vb+vprv+++=consider
questions ^nns++++=questions
that ^tht+rel+obj++=that
end ^nn++++=end
with ^in++++=with
the ^ati++++=the
discourse ^nn++++=discourse
markers ^nns++++=markers
correct ^jj++++=correct
and ^cc+phrs+++=and
right ^jj++++=right
as ^ql++++=as
devices ^nns++++=devices
which ^whp+rel+subj++=which
have ^vb+hv+vrb++=have
the ^ati++++=the
same ^ap++++=same
illocutionary ^nn+++??+=illocutionary
force ^nn++++=force.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
examples ^nns++++=examples
that ^tht+rel+subj++=that
illustrate ^vb++++=illustrate
this ^dt+pdem+++=this
are ^vb+ber+aux++=are
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
Excerpts ^np+++??+=Excerpts
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Martinez ^np++++=Martinez
says ^vbz+vpub+++=says
So. ^np+++??+=So...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
after ^in++++=after
two ^cd++++=two
o ^zz++++=o
Clock. ^np+++??+=CLOCK...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
that. ^nn+++??+=that...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
you. ^nn+++??+=you...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
everything ^pn++++=everything
and ^cc++++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
car ^nn++++=car
correct ^jj++++=correct?
? ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
at ^rb++++=at
two ^cd++++=two
specifically ^rb++++=specifically
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
around ^rp++++=around
two ^cd++++=two
o ^zz++++=o
clock ^nn++++=clock
when ^wrb+who+++=when
you ^pp2+pp2+++=you
actually ^rb+amp+++=actually
put ^vb+++xvbn+=put
the ^ati++++=the
luggage ^nn++++=luggage
in ^in++++=in
the ^ati++++=the
car ^nn++++=car
right ^nn++++=right?
? ^zz++++=EXTRAWORD
. ^zz++++=.
Relying ^vbg+++xvbg+=Relying
on ^in++++=on
Gibbons ^np++++=Gibbons
( ^zz++++=(2003,
2003 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
95 ^cd++++=95),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Holt ^np++++=Holt
and ^cc++++=and
Johnson ^np++++=Johnson
( ^zz++++=(2010,
2010 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
25 ^cd++++=25)
) ^zz++++=EXTRAWORD
show ^vb+vprv+++=show
two ^cd++++=two
objectives ^nns++++=objectives
that ^tht+rel+obj++=that
questions ^nns++++=questions
can ^md+pos+++=can
have ^vb+hv+vrb++=have
in ^in++++=in
legal ^jj+atrb+++=legal
settings ^nns++++=settings:
: ^zz++++=EXTRAWORD
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
eliciting ^vbg+++xvbg+=eliciting
information ^nn++++=information
and ^cc++++=and
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
obtaining ^vbg+++xvbg+=obtaining
con ^np++++=con
rmation ^nn+++??+=rmation
of ^in++++=of
a ^at++++=a
version ^nn++++=version
of ^in++++=of
events ^nns++++=events
that ^tht+rel+obj++=that
the ^ati++++=the
questioner ^nn++++=questioner
has ^vbz+hvz+vrb++=has
in ^in++++=in
mind ^nn++++=mind
. ^zz++++=.
Our ^pp$+pp1+++=Our
examples ^nns++++=examples
under ^in++++=under
analysis ^nn++++=analysis
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
constitute ^vbi++++=constitute
devices ^nns++++=devices
with ^in++++=with
the ^ati++++=the
latter ^ap++++=latter
objective ^nn++++=objective.
. ^zz++++=EXTRAWORD
