The ^ati++++=The
vast ^jj+atrb+++=vast
majority ^nn++++=majority
of ^in++++=of
studies ^nns++++=studies
analyzed ^nn+++??+=analyzed
the ^ati++++=the
circumstances ^nns++++=circumstances
in ^in++++=in
developed ^xvbn+++xvbn+=developed
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
studies ^nns++++=studies
that ^tht+rel+obj++=that
focus ^nn++++=focus
on ^in++++=on
developing ^xvbg+++xvbg+=developing
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
Gottlieb ^np+++??+=Gottlieb
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
measured ^vbd+++xvbn+=measured
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
work ^vb++++=work-from-home
- ^zz++++=EXTRAWORD
from ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
home ^nr++++=EXTRAWORD
( ^zz++++=(WFH)
wfh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
Armenia ^np+++??+=Armenia,
, ^zz++++=EXTRAWORD
Bolivia ^np+++??+=Bolivia,
, ^zz++++=EXTRAWORD
China ^np++++=China,
, ^zz++++=EXTRAWORD
Colombia ^np+++??+=Colombia,
, ^zz++++=EXTRAWORD
Georgia ^np+++??+=Georgia,
, ^zz++++=EXTRAWORD
Ghana ^np++++=Ghana,
, ^zz++++=EXTRAWORD
Kenya ^np++++=Kenya,
, ^zz++++=EXTRAWORD
Laos ^np++++=Laos,
, ^zz++++=EXTRAWORD
Macedonia ^np+++??+=Macedonia
and ^cc++++=and
Vietnam ^np++++=Vietnam.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
Wfh ^vb+++??+=WFH
is ^vbz+bez+vrb++=is
relatively ^rb++++=relatively
low ^jj+pred+++=low
and ^cc++++=and
strongly ^rb+amp+++=strongly
correlated ^vbd+++xvbn+=correlated
with ^in++++=with
per ^nnu++++=per
capita ^nn+++??+=capita
income ^nn++++=income
in ^in++++=in
these ^dt+dem+++=these
countries ^nns++++=countries
and ^cc++++=and
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
high ^jj+atrb+++=high
heterogeneity ^nn+++??+=heterogeneity
across ^in+pl+++=across
and ^cc++++=and
within ^in++++=within
occupations ^nns++++=occupations
and ^cc++++=and
across ^in+pl+++=across
characteristics ^nns++++=characteristics
of ^in++++=of
workers ^nns++++=workers,
, ^zz++++=EXTRAWORD
with ^in++++=with
vulnerable ^jj+atrb+++=vulnerable
groups ^nns++++=groups
less ^rbr++++=less
likely ^jj++++=likely
to ^to+jcmp+++=to
work ^vb++++=work
remotely ^rb++++=remotely.
. ^zz++++=EXTRAWORD
