As ^in++++=As
the ^ati++++=the
scholar ^nn++++=scholar
points ^nns++++=points
out ^rp+pl+++=out:
: ^zz++++=EXTRAWORD
in ^in++++=in
questions ^nns++++=questions
and ^cc++++=and
answers ^nns++++=answers
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
one ^cd1++++=one
example ^nn++++=example,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
the ^ati++++=the
canonical ^nn+++??+=canonical
one ^pn++++=one,
, ^zz++++=EXTRAWORD
of ^in++++=of
what ^wdt+who+++=what
Harvey ^np++++=Harvey
Sacks ^nns++++=Sacks
has ^vbz+hvz+aux++=has
called ^vprf+++xvbnx+=called
a ^at++++=a
first ^od++++=first
pair ^nn++++=pair
part ^nn++++=part
and ^cc++++=and
a ^at++++=a
second ^od++++=second
pair ^nn++++=pair
part ^nn++++=part
, ^zz++++=,
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
a ^at++++=a
couplet ^nn+++??+=couplet,
, ^zz++++=EXTRAWORD
a ^at++++=a
minimal ^jj+atrb+++=minimal
dialogic ^nn+++??+=dialogic
unit ^nn++++=unit
. ^zz++++=.
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
round ^nn++++=round
two ^cd++++=two
utterances ^nns++++=utterances
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
each ^dt++++=each
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
type ^nn++++=type
and ^cc++++=and
temporally ^rb++++=temporally
following ^vbg+++xvbg+=following
directly ^rb++++=directly
on ^in++++=on
the ^ati++++=the
other ^ap++++=other;
; ^zz++++=EXTRAWORD
in ^in++++=in
sum ^nn++++=sum,
, ^zz++++=EXTRAWORD
an ^at++++=an
example ^nn++++=example
of ^in++++=of
an ^at++++=an
adjacency ^nn+++??+=adjacency
pair ^nn++++=pair
. ^zz++++=.
The ^ati++++=The
first ^od++++=first
pair ^nn++++=pair-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
sets ^nns++++=sets
up ^rp++++=up
a ^at++++=a
conditional ^jj+atrb+++=conditional
relevance ^nn++++=relevance
, ^zz++++=,
on ^in++++=on
anything ^pn++++=anything
that ^dt+pdem+++=that
occurs ^vbz++++=occurs
in ^in++++=in
the ^ati++++=the
slot ^nn++++=slot
which ^whp+rel+subj++=which
follows ^vbz+vprv+++=follows.
. ^zz++++=EXTRAWORD
Whatever ^wdt+who+++=Whatever
comes ^vbz++++=comes
to ^to++++=to
be ^vbi+vbi+aux++=be
said ^vpsv++tht0+xvbnx+=said
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+aux++=be
inspected ^vpsv++agls+xvbnx+=inspected
to ^to++++=to
see ^vbi+vprv+++=see
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
might ^md+pos+++=might
serve ^vb++++=serve
as ^in++++=as
an ^at++++=an
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
nothing ^pn++++=nothing
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
resulting ^nn++++=resulting
silence ^vb++++=silence
will ^md+prd+++=will
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
as ^ql++++=as
notable ^jj++++=notable--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
rejoinder ^nn++++=rejoinder
in ^in++++=in
its ^pp$+it+++=its
own ^ap++++=own
right ^nn++++=right,
, ^zz++++=EXTRAWORD
a ^at++++=a
silence ^nn++++=silence
to ^to++++=to
be ^vbi+vbi+aux++=be
heard ^vpsv++agls+xvbnx+=heard
( ^zz++++=(Goffman,
goffman ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Wooffitt ^np+++??+=Wooffitt
 ^zz++++=(2005,
005 ^np++++=EXTRAWORD
 ^zz++++=EXTRAWORD
P ^zz++++=p.
 ^zz++++=EXTRAWORD
2 ^cd++++=32)
	 ^zz++++=EXTRAWORD
Claims ^nns++++=claims
That ^tht+ncmp+obj++=that
