Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
reports ^nns++++=reports
of ^in++++=of
different ^jj+atrb+++=different
species ^nns++++=species
works ^nns++++=works
that ^tht+rel+subj++=that
show ^vb+vprv+++=show
gains ^vbz++++=gains
in ^in++++=in
the ^ati++++=the
germinative ^nn+++??+=germinative
percentage ^nn++++=percentage
of ^in++++=of
seeds ^nns++++=seeds
after ^in++++=after
cryopreservation ^nn+++??+=cryopreservation,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cooling ^jj+atrb++xvbg+=cooling
process ^nn++++=process
at ^in++++=at
ultra ^rb++++=ultra-low
- ^zz++++=EXTRAWORD
low ^jj+atrb+++=EXTRAWORD
temperatures ^nns++++=temperatures
can ^md+pos+++=can
act ^vb+vpub+++=act
to ^to++++=to
break ^vbi++++=break
seed ^nn++++=seed
dormancy ^nn+++??+=dormancy.
. ^zz++++=EXTRAWORD
As ^in++++=As
an ^at++++=an
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Rocha ^np+++??+=Rocha
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
in ^in++++=in
their ^pp$+pp3+++=their
studies ^nns++++=studies
that ^tht+rel+obj++=that
the ^ati++++=the
cryopreservation ^nn+++??+=cryopreservation
process ^nn++++=process
of ^in++++=of
Gossypium ^np+++??+=Gossypium
hirsutum ^nn+++??+=hirsutum
L ^zz++++=L.
. ^zz++++=EXTRAWORD
seeds ^nns++++=seeds
promoted ^vwbn+++xvbn+=promoted
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
percentage ^nn++++=percentage
of ^in++++=of
seed ^nn++++=seed
germination ^nn+++??+=germination
and ^cc++++=and
seedling ^nn++++=seedling
vigor ^nn+++??+=vigor,
, ^zz++++=EXTRAWORD
after ^in++++=after
going ^nn++++=going
through ^in++++=through
the ^ati++++=the
cryopreservation ^nn+++??+=cryopreservation
process ^nn++++=process.
. ^zz++++=EXTRAWORD
Cryopreservation ^np+++??+=Cryopreservation
also ^rb++++=also
advanced ^jj+++xvbn+=advanced
a ^at++++=a
higher ^jjr+atrb+++=higher
germination ^jj+atrb++??+=germination
percentage ^nn++++=percentage
of ^in++++=of
E ^zz++++=E.
. ^zz++++=EXTRAWORD
subsecundum ^nn+++??+=subsecundum
( ^zz++++=(Baker)
baker ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Mez ^np+++??+=Mez
seeds ^nns++++=seeds
with ^in++++=with
a ^at++++=a
moisture ^nn++++=moisture
content ^nn++++=content
of ^in++++=of
12.7 ^cd++++=12.7%
% ^zz++++=EXTRAWORD
( ^zz++++=(Tarr
tarr ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
