This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^od++++=first
study ^vb++++=study
that ^dt+pdem+++=that
describes ^vbz++++=describes
Bagrobdella ^np+++??+=Bagrobdella
species ^nn++++=species
in ^in++++=in
Lake ^nn++++=Lake
Tanganyika ^np++++=Tanganyika.
. ^zz++++=EXTRAWORD
To ^in++++=To
date ^nn++++=date,
, ^zz++++=EXTRAWORD
four ^cd++++=four
species ^nn++++=species
are ^vb+ber+aux++=are
described ^vpsv++agls+xvbnx+=described
from ^in++++=from
Ghana ^np++++=Ghana,
, ^zz++++=EXTRAWORD
Uganda ^np++++=Uganda,
, ^zz++++=EXTRAWORD
Mali ^np+++??+=Mali
and ^cc++++=and
Cameroon ^np+++??+=Cameroon,
, ^zz++++=EXTRAWORD
belonging ^vbg+++xvbg+=belonging
to ^in++++=to
this ^dt+pdem+++=this
genus ^vbz+++??+=genus:
: ^zz++++=EXTRAWORD
Bagrobdella ^np+++??+=Bagrobdella
auchenoglanii ^nn+++??+=auchenoglanii
Paperna ^np+++??+=Paperna,
, ^zz++++=EXTRAWORD
1969 ^cd+date+++=1969,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
fraudulenta ^nn+++??+=fraudulenta
Euzet ^np+++??+=Euzet
& ^zz++++=&
Le ^&fw++++=Le
Brun ^&fw++++=Brun,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990
and ^cc++++=and
B ^zz++++=B.
. ^zz++++=EXTRAWORD
anthopenis ^nns+++??+=anthopenis
Euzet ^np+++??+=Euzet
& ^zz++++=&
Le ^&fw++++=Le
Brun ^&fw++++=Brun,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990
( ^zz++++=(Euzet
euzet ^nn+++??+=EXTRAWORD
& ^zz++++=&
Le ^&fw++++=Le
Brun ^&fw++++=Brun
1990 ^cd+date+++=1990)
) ^zz++++=EXTRAWORD
from ^in++++=from
Auchenoglanis ^np+++??+=Auchenoglanis
occidentalis ^nns+++??+=occidentalis
( ^zz++++=(Valenciennes,
valenciennes ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1840 ^cd+date+++=1840)
) ^zz++++=EXTRAWORD
and ^cc++++=and
one ^pn++++=one,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
parauchenoglanis ^nns+++??+=parauchenoglanis
Akoumba ^np+++??+=Akoumba,
, ^zz++++=EXTRAWORD
Pariselle ^np+++??+=Pariselle,
, ^zz++++=EXTRAWORD
Tombi ^np+++??+=Tombi
& ^zz++++=&
Bilong ^np+++??+=Bilong
Bilong ^np+++??+=Bilong,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
from ^in++++=from
Parauchenoglanis ^np+++??+=Parauchenoglanis
monkei ^nn+++??+=monkei
( ^zz++++=(Keilhack
keilhack ^nn+++??+=EXTRAWORD
1910 ^cd+date+++=1910)
) ^zz++++=EXTRAWORD
( ^zz++++=(Akoumba
akoumba ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
