The ^ati++++=The
authors ^nns++++=authors
thank ^vb++++=thank
the ^ati++++=the
Colonel ^nn++++=Colonel
of ^in++++=of
the ^ati++++=the
Guarni ^np+++??+=Guarni
o ^zz++++=o
da ^np++++=da
Aeron ^np+++??+=Aeron
utica ^nn+++??+=utica
de ^&fw++++=de
Pirassununga ^np+++??+=Pirassununga
Samuel ^np++++=Samuel
de ^&fw++++=de
Mattos ^np+++??+=Mattos
Barroso ^np+++??+=Barroso
for ^in++++=for
the ^ati++++=the
information ^nn++++=information;
; ^zz++++=EXTRAWORD
Jos ^np+++??+=Jos
Victor ^np++++=Victor
da ^np++++=da
Silva ^np+++??+=Silva
for ^in++++=for
the ^ati++++=the
field ^nn++++=field
assistance ^nn++++=assistance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Programa ^np+++??+=Programa
de ^&fw++++=de
P ^zz++++=P
s ^zz++++=s-Gradua
- ^zz++++=EXTRAWORD
gradua ^nn+++??+=EXTRAWORD
o ^zz++++=o
em ^nn+++??+=em
Ci ^np+++??+=Ci
ncias ^nns+++??+=ncias
Ambientais ^np+++??+=Ambientais
( ^zz++++=(PPGCAm)
ppgcam ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
research ^nn++++=research
assistance ^nn++++=assistance;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Coordena ^np+++??+=Coordena
o ^zz++++=o
de ^&fw++++=de
Aperfei ^np+++??+=Aperfei
oamento ^nn+++??+=oamento
de ^&fw++++=de
Pessoal ^np+++??+=Pessoal
de ^&fw++++=de
N ^zz++++=N
Vel ^np++++=vel
Superior ^jj++++=Superior
 ^zz++++=(CAPES)
Capes ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
For ^in++++=for
Promoting ^jj+atrb+++=promoting
Research ^nn++++=research.
 ^zz++++=EXTRAWORD
