On ^in++++=On
the ^ati++++=the
peer ^nn++++=peer-review
- ^zz++++=EXTRAWORD
review ^nn++++=EXTRAWORD
question ^nn++++=question,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
14 ^cd++++=14
publishers ^nns++++=publishers
who ^whp+who+++=who
responded ^vbd+++xvbn+=responded
to ^in++++=to
our ^pp$+pp1+++=our
original ^jj+atrb+++=original
inquiry ^nn++++=inquiry,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
would ^md+prd+++=would
allow ^vb++++=allow
us ^pp1o+pp1+++=us
limited ^vbd+++xvbn+=limited
use ^nn++++=use
of ^in++++=of
password ^nn++++=password
access ^nn++++=access
to ^in++++=to
their ^pp$+pp3+++=their
peer ^nn++++=peer
review ^nn++++=review
process ^nn++++=process
( ^zz++++=(based
based ^xvbn+++xvbn+=EXTRAWORD
on ^in++++=on
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge
of ^in++++=of
Ojs ^np+++??+=OJS).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
publishers ^nns++++=publishers
granted ^vbd+vsua++xvbn+=granted
us ^pp1o+pp1+++=us
access ^nn++++=access
to ^in++++=to
a ^at++++=a
journal ^nn++++=journal
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
spot ^nn++++=spot-checking
- ^zz++++=EXTRAWORD
checking ^vbg+++xvbg+=EXTRAWORD
an ^at++++=an
average ^nn++++=average
of ^in++++=of
12 ^cd++++=12
recent ^jj+atrb+++=recent
articles ^nns++++=articles
per ^in++++=per
journal ^nn++++=journal,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
four ^cd++++=four
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
publishers ^nns++++=publishers
journals ^nns++++=journals
had ^vb+hv+aux++=had
complete ^jj++++=complete
sets ^vbz++++=sets
of ^in++++=of
reviews ^nns++++=reviews,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
fifth ^nn++++=fifth
was ^vbd+bedz+aux++=was
missing ^vbg+++xvbgx+=missing
reviews ^nns++++=reviews
for ^in++++=for
three ^cd++++=three
articles ^nns++++=articles
out ^rp+pl+++=out
of ^in++++=of
20 ^cd++++=20.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
1.6 ^cd++++=1.6
reviews ^nns++++=reviews
per ^in++++=per
article ^nn++++=article
on ^in++++=on
average ^jj++++=average,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
24 ^cd++++=24
percent ^nnu++++=percent
of ^in++++=of
the ^ati++++=the
reviews ^nns++++=reviews
contained ^vbd+++xvbn+=contained
only ^rb+down+++=only
a ^at++++=a
recommendation ^nn++++=recommendation
to ^to++++=to
publish ^vbi++++=publish
without ^in++++=without
comment ^nn++++=comment,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
much ^ap++++=much
work ^nn++++=work
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done
on ^in++++=on
improving ^xvbg+++xvbg+=improving
peer ^nn++++=peer
review ^nn++++=review
quality ^nn++++=quality.
. ^zz++++=EXTRAWORD
In ^in++++=In
sum ^nn++++=sum,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
original ^nn++++=original
randomly ^rb++++=randomly
selected ^jj+++xvbn+=selected
50 ^cd++++=50
publishers ^nns++++=publishers
using ^vwbg+++xvbg+=using
Ojs ^np+++??+=OJS
on ^in++++=on
Beall ^np+++??+=Beall
s ^zz++++=s
list ^nn++++=list,
, ^zz++++=EXTRAWORD
14.0 ^cd++++=14.0
percent ^nnu++++=percent
largely ^rb++++=largely
compliant ^nn+++??+=compliant
with ^in++++=with
Beall ^np+++??+=Beall
s ^zz++++=s
basic ^jj+atrb+++=basic
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
with ^in++++=with
five ^cd++++=five
of ^in++++=of
the ^ati++++=the
seven ^cd++++=seven
providing ^cs+sub+++=providing
direct ^jj+atrb+++=direct
evidence ^nn++++=evidence
of ^in++++=of
peer ^nn++++=peer
review ^nn++++=review.
. ^zz++++=EXTRAWORD
