This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
reflective ^jj+atrb+++=reflective
article ^nn++++=article
in ^in++++=in
which ^whp+rel+pied++=which
current ^jj+atrb+++=current
information ^nn++++=information
on ^in++++=on
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
biodiversity ^nn+++??+=biodiversity
in ^in++++=in
Latin ^jj+atrb+++=Latin
America ^np++++=America
was ^vbd+bedz+vrb++=was
analyzed ^nn+++??+=analyzed,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
link ^nn++++=link
to ^in++++=to
the ^ati++++=the
cultural ^jj+atrb+++=cultural
practices ^nns++++=practices
of ^in++++=of
indigenous ^jj+atrb+++=indigenous
peoples ^nns++++=peoples,
, ^zz++++=EXTRAWORD
some ^dti++++=some
examples ^nns++++=examples
of ^in++++=of
attempts ^vb++++=attempts
to ^to+vcmp+++=to
appropriate ^vbi++++=appropriate
these ^dt+dem+++=these
resources ^nns++++=resources
by ^in++++=by
institutions ^nns++++=institutions
and ^cc++++=and
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
use ^vb++++=use
the ^ati++++=the
resources ^nns++++=resources
that ^tht+rel+obj++=that
biodiversity ^nn+++??+=biodiversity
provides ^vbz+vsua+++=provides
based ^xvbn+++xvbn+=based
on ^in++++=on
a ^at++++=a
model ^nn++++=model
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
bioeconomy ^nn++++=bioeconomy.
. ^zz++++=EXTRAWORD
