Plants ^nns++++=Plants
of ^in++++=of
the ^ati++++=the
genus ^nns+++??+=genus
Vellozia ^np+++??+=Vellozia
( ^zz++++=(Velloziaceae)
velloziaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
grow ^vb++++=grow
in ^in++++=in
the ^ati++++=the
African ^jj++++=African
and ^cc++++=and
South ^nr+pl+++=South
American ^jj+atrb+++=American
savannahs ^nns+++??+=savannahs
and ^cc++++=and
are ^vb+ber+vrb++=are
more ^rbr++++=more
frequent ^jj+pred+++=frequent
in ^in++++=in
open ^jj+atrb+++=open
vegetations ^nns+++??+=vegetations,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
rupestrian ^vb+++??+=rupestrian
fields ^nns++++=fields
or ^cc++++=or
Cerrado ^np+++??+=Cerrado
stricto ^nn+++??+=stricto
sensu ^nn+++??+=sensu
( ^zz++++=(Ayensu
ayensu ^nn+++??+=EXTRAWORD
1969 ^cd+date+++=1969,
, ^zz++++=EXTRAWORD
Coetzee ^np+++??+=Coetzee
1974 ^cd+date+++=1974,
, ^zz++++=EXTRAWORD
Mello ^np+++??+=Mello-Silva
- ^zz++++=EXTRAWORD
silva ^np++++=EXTRAWORD
& ^zz++++=&
Menezes ^np+++??+=Menezes
1999 ^cd+date+++=1999,
, ^zz++++=EXTRAWORD
Batista ^np+++??+=Batista
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
highly ^rb+amp+++=highly
resistant ^jj+pred+++=resistant
to ^in++++=to
fire ^nn++++=fire
and ^cc++++=and
drought ^nn++++=drought
( ^zz++++=(Owoseye
owoseye ^nn+++??+=EXTRAWORD
& ^zz++++=&
Sanford ^np+++??+=Sanford
1972 ^cd+date+++=1972)
) ^zz++++=EXTRAWORD
and ^cc++++=and
show ^nn++++=show
stems ^nns++++=stems
capable ^jj++++=capable
to ^to++++=to
absorb ^vbi++++=absorb
water ^nn++++=water
( ^zz++++=(Oliveira
oliveira ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Often ^rb+cnj+++=Often,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
produce ^vb++++=produce
resins ^nns+++??+=resins
and ^cc++++=and
several ^ap++++=several
secondary ^jj+atrb+++=secondary
metabolites ^nns++++=metabolites
of ^in++++=of
medicinal ^jj+atrb+++=medicinal
interest ^nn++++=interest
( ^zz++++=(Quintao
quintao ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
inhibition ^nn++++=inhibition
of ^in++++=of
the ^ati++++=the
venom ^nn++++=venom
of ^in++++=of
snakes ^nns++++=snakes
( ^zz++++=(Tribuiani
tribuiani ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
species ^nn++++=species
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
ornamental ^jj++++=ornamental
( ^zz++++=(Souza
souza ^nn+++??+=EXTRAWORD
2005 ^cd++++=2005),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
their ^pp$+pp3+++=their
big ^jj+atrb+++=big
showy ^jj+atrb+++=showy
flowers ^nns++++=flowers
and ^cc++++=and
peculiar ^jj+atrb+++=peculiar
architecture ^nn++++=architecture.
. ^zz++++=EXTRAWORD
Unfortunately ^rb+cnj+++=Unfortunately,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
plants ^nns++++=plants
are ^vb+ber+aux++=are
somehow ^rb++splt++=somehow
endangered ^vpsv++by+xvbnx+=endangered
by ^in++++=by
the ^ati++++=the
extractivism ^nn++++=extractivism
and ^cc++++=and
expansion ^nn++++=expansion
of ^in++++=of
crop ^nn++++=crop
cultures ^nns++++=cultures.
. ^zz++++=EXTRAWORD
