As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
facilitators ^vbz+++??+=facilitators
organized ^vbd+++xvbn+=organized
the ^ati++++=the
sequence ^nn++++=sequence
of ^in++++=of
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely
the ^ati++++=the
opening ^jj+atrb++xvbg+=opening
and ^cc+phrs+++=and
closing ^jj+atrb++xvbg+=closing
songs ^nns++++=songs
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
way ^nn++++=way
play ^nn++++=play
and ^cc++++=and
talk ^nn++++=talk
were ^vbd+bed+aux++=were
aligned ^vpsv++agls+xvbnx+=aligned
to ^in++++=to
the ^ati++++=the
topic ^nn++++=topic
of ^in++++=of
global ^jj+atrb+++=global
collaboration ^nn++++=collaboration.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
young ^jj+atrb+++=young
professionals ^nns++++=professionals
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
guests ^nns++++=guests
to ^in++++=to
the ^ati++++=the
workshop ^nn++++=workshop
could ^md+pos+++=could
relate ^vb++++=relate
to ^in++++=to
their ^pp$+pp3+++=their
personal ^jj+atrb+++=personal
experience ^nn++++=experience
and ^cc++++=and,
, ^zz++++=EXTRAWORD
hopefully ^rb+cnj+++=hopefully,
, ^zz++++=EXTRAWORD
engage ^vb++++=engage
with ^in++++=with
others ^aps++++=others
during ^in++++=during
the ^ati++++=the
workshop ^nn++++=workshop
and ^cc++++=and
after ^cs+sub+++=after
it ^pp3+it+++=it
to ^to++++=to
start ^vbi++++=start
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
creative ^jj+atrb+++=creative
ways ^nns++++=ways
to ^to++++=to
increase ^vbi++++=increase
their ^pp$+pp3+++=their
power ^nn++++=power
of ^in++++=of
action ^nn++++=action.
. ^zz++++=EXTRAWORD
The ^ati++++=The
idea ^nn++++=idea
was ^vbd+bedz+aux++=was
to ^to++++=to
create ^vbi++++=create
a ^at++++=a
space ^nn++++=space
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
group ^nn++++=group
could ^md+pos+++=could
expand ^vb++++=expand
their ^pp$+pp3+++=their
conatus ^nns+++??+=conatus
as ^cs+sub+++=as
quoted ^vpsv++by+xvbn+=quoted
by ^in++++=by
Spinoza ^np+++??+=Spinoza
( ^zz++++=(2003,
2003 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Iii ^np+++??+=III,
, ^zz++++=EXTRAWORD
Prop ^nn++++=Prop.
. ^zz++++=EXTRAWORD
Vii ^np+++??+=VII),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
improve ^vbi++++=improve
and ^cc++++=and
nurture ^nn++++=nurture
one ^cd1++++=one
s ^zz++++=s
existence ^nn++++=existence.
. ^zz++++=EXTRAWORD
