Most ^ql+emph+++=Most
Mexican ^jj+atrb+++=Mexican
adolescents ^nns++++=adolescents
in ^in++++=in
our ^pp$+pp1+++=our
study ^nn++++=study
have ^vb+hv+vrb++=have
a ^at++++=a
positive ^jj+atrb+++=positive
perception ^nn++++=perception
of ^in++++=of
science ^nn++++=science.
. ^zz++++=EXTRAWORD
By ^in++++=By
mid ^jjb++++=mid-2021,
- ^zz++++=EXTRAWORD
2021 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
experience ^nn++++=experience
during ^in++++=during
the ^ati++++=the
ongoing ^nn+++??+=ongoing
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
significantly ^rb++++=significantly
improved ^vbd+++xvbn+=improved
their ^pp$+pp3+++=their
perception ^nn++++=perception
of ^in++++=of
science ^nn++++=science,
, ^zz++++=EXTRAWORD
scientists ^nns++++=scientists
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care
workers ^nns++++=workers,
, ^zz++++=EXTRAWORD
increased ^j+++xvbn+=increased
their ^pp$+pp3+++=their
interests ^nns++++=interests
in ^in++++=in
these ^dt+dem+++=these
careers ^nns++++=careers
and ^cc++++=and
inspired ^vbd+++xvbn+=inspired
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
in ^in++++=in
pursuing ^jj+atrb+++=pursuing
careers ^nns++++=careers
both ^abx++++=both
in ^in++++=in
science ^nn++++=science
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care.
. ^zz++++=EXTRAWORD
