Following ^jj+++xvbg+=Following
the ^ati++++=the
two ^cd++++=two
previous ^jj+atrb+++=previous
play ^nn++++=play
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
testimonial ^nn++++=testimonial
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
brought ^vbd+++xvbn+=brought
light ^jj++++=light
to ^in++++=to
real ^jj+atrb+++=real
problems ^nns++++=problems
participants ^nns++++=participants
were ^vbd+bed+aux++=were
facing ^vbg+++xvbgx+=facing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
somehow ^rb++++=somehow
encouraged ^vbd+++xvbn+=encouraged
them ^pp3o+pp3+++=them
to ^to++++=to
share ^vbi++++=share
experiences ^nns++++=experiences
and ^cc++++=and
react ^vb++++=react
to ^in++++=to
all ^abn++++=all
those ^dt+dem+++=those
stories ^nns++++=stories
and ^cc++++=and
feelings ^nns++++=feelings
that ^tht+ncmp+subj++=that
were ^vbd+bed+aux++=were
being ^vbg+beg+aux+xvbg+=being
exposed ^vwbn+++xvbn+=exposed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
careful ^jj+atrb+++=careful
listening ^nvbg+++xvbg+=listening,
, ^zz++++=EXTRAWORD
reactions ^nns++++=reactions
of ^in++++=of
shock ^nn++++=shock,
, ^zz++++=EXTRAWORD
support ^nn++++=support,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
relief ^nn++++=relief
seen ^vbd+vprv++xvbn+=seen
on ^in++++=on
the ^ati++++=the
faces ^nns++++=faces
on ^in++++=on
the ^ati++++=the
screen ^nn++++=screen,
, ^zz++++=EXTRAWORD
during ^in++++=during
each ^dt++++=each
of ^in++++=of
the ^ati++++=the
testimonials ^nns+++??+=testimonials,
, ^zz++++=EXTRAWORD
clearly ^rb++++=clearly
showed ^vbd+vprv++xvbn+=showed
how ^wrb+who+whcl++=how
affected ^jj++++=affected
by ^in++++=by
them ^pp3o+pp3+++=them
participants ^nns++++=participants
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
