The ^ati++++=The
most ^ql+emph+++=most
biodiverse ^vb+++??+=biodiverse
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
regions ^nns++++=regions
are ^vb+ber+vrb++=are
also ^rb++++=also
those ^dt+dem+++=those
in ^in++++=in
which ^whp+rel+pied++=which
peoples ^nns++++=peoples,
, ^zz++++=EXTRAWORD
tribes ^nns++++=tribes
and ^cc++++=and
communities ^nns++++=communities
reside ^vb++++=reside
with ^in++++=with
habits ^nns++++=habits,
, ^zz++++=EXTRAWORD
customs ^nns++++=customs
and ^cc++++=and
cultural ^jj+atrb+++=cultural
practices ^nns++++=practices
closely ^rb++++=closely
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
that ^dt+dem+++=that
biodiversity ^nn++++=biodiversity.
. ^zz++++=EXTRAWORD
