To ^in++++=To
that ^dt+dem+++=that
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
the ^ati++++=the
answers ^nns++++=answers
corroborate ^nn+++??+=corroborate
the ^ati++++=the
understanding ^vb+++xvbg+=understanding
that ^tht+vcmp+++=that
the ^ati++++=the
aesthetic ^jj+atrb+++=aesthetic
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
Usr ^np+++??+=USR
experience ^nn++++=experience,
, ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
instance ^nn++++=instance
of ^in++++=of
training ^nn++++=training
that ^tht+rel+subj++=that
enables ^vbz++++=enables
mimetic ^nn+++??+=mimetic
learning ^vwbg+vprv++xvbg+=learning,
, ^zz++++=EXTRAWORD
favors ^nns+++??+=favors
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
of ^in++++=of
abstract ^jj+atrb+++=abstract
concepts ^nns++++=concepts,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
that ^dt+pdem+++=that
characterize ^vb++++=characterize
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
foundation ^nn++++=foundation
of ^in++++=of
moral ^jj+atrb+++=moral
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tension ^nn++++=tension
between ^in++++=between
theory ^nn++++=theory
and ^cc++++=and
practice ^nn++++=practice
in ^in++++=in
Usr ^np+++??+=USR,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
the ^ati++++=the
moral ^jj+atrb+++=moral
field ^nn++++=field,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+vrb++=be
evidenced ^nn+++??+=evidenced
by ^in++++=by
the ^ati++++=the
expressive ^jj+atrb+++=expressive
percentage ^nn++++=percentage
of ^in++++=of
73,1 ^cd++++=73,1%
% ^zz++++=EXTRAWORD
( ^zz++++=(19)
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
who ^whp+rel+subj++=who
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
already ^rb++splt++=already
experienced ^vprf+++xvbnx+=experienced
an ^at++++=an
ethical ^jj+atrb+++=ethical
dilemma ^nn++++=dilemma
in ^in++++=in
the ^ati++++=the
research ^nn++++=research,
, ^zz++++=EXTRAWORD
contrasting ^jj+++xvbg+=contrasting
with ^in++++=with
80,5 ^cd++++=80,5%
% ^zz++++=EXTRAWORD
( ^zz++++=(21)
21 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
admitted ^vbd+vpub++xvbn+=admitted
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
sufficiently ^rb++++=sufficiently
familiar ^jj++++=familiar
with ^in++++=with
Resolution ^nn++++=Resolution
Nhc ^np+++??+=NHC
No ^rb++++=No.
. ^zz++++=EXTRAWORD
510 ^cd++++=510
( ^zz++++=(Brasil,
brasil ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
students ^nns++++=students
were ^vbd+bed+vrb++=were
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
recognize ^vb+vprv+++=recognize
an ^at++++=an
ethical ^jj+atrb+++=ethical
dilemma ^nn++++=dilemma,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
their ^pp$+pp3+++=their
little ^jj+atrb+++=little
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
applicable ^jj+atrb+++=applicable
standard ^nn++++=standard.
. ^zz++++=EXTRAWORD
