Most ^ql+emph+++=Most
species ^nns++++=species
of ^in++++=of
Asteraceae ^np+++??+=Asteraceae
have ^vb+hv+vrb++=have
anemocory ^nn+++??+=anemocory
and ^cc++++=and
herbaceous ^jj+atrb+++=herbaceous
habit ^nn++++=habit
( ^zz++++=(Silva
silva ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^in++++=to
having ^xvbg+++xvbg+=having
many ^ap++++=many
adaptive ^nn+++??+=adaptive
abilities ^nns++++=abilities,
, ^zz++++=EXTRAWORD
allowing ^jj+++xvbg+=allowing
them ^pp3o+pp3+++=them
to ^to++++=to
occur ^vbi++++=occur
in ^in++++=in
different ^jj+atrb+++=different
ecosystems ^nns+++??+=ecosystems
( ^zz++++=(Beretta
beretta ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
obtained ^vwbn+++xvbn+=obtained
here ^rn+pl+++=here
coincide ^vb++++=coincide
with ^in++++=with
some ^dti++++=some
studies ^nns++++=studies
whose ^whp+rel+obj++=whose
species ^nn++++=species
richness ^nn++++=richness
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
Asteraceae ^np+++??+=Asteraceae
is ^vbz+bez+vrb++=is
expressive ^jj+pred+++=expressive
in ^in++++=in
areas ^nns++++=areas
of ^in++++=of
semideciduous ^nns+++??+=semideciduous
forest ^nn++++=forest
( ^zz++++=(N
n ^zz++++=EXTRAWORD
brega ^nn+++??+=brega
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009,
, ^zz++++=EXTRAWORD
Franco ^np++++=Franco
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
Silva ^np+++??+=Silva
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
Asteraceae ^np+++??+=Asteraceae
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
largest ^jjt+atrb+++=largest
families ^nns++++=families
of ^in++++=of
angiosperms ^nns+++??+=angiosperms
in ^in++++=in
number ^nn++++=number
of ^in++++=of
species ^nn++++=species,
, ^zz++++=EXTRAWORD
with ^in++++=with
anemochoric ^nn+++??+=anemochoric
dispersion ^nn++++=dispersion
and ^cc++++=and
represented ^vpsv++agls+xvbn+=represented
in ^in++++=in
practically ^rb+down+++=practically
all ^rb++++=all
plant ^nn++++=plant
formations ^nns++++=formations
in ^in++++=in
the ^ati++++=the
globe ^nn++++=globe
( ^zz++++=(Lorenzi
lorenzi ^nn+++??+=EXTRAWORD
2014 ^cd++++=2014),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
partially ^rb+down+++=partially
justifies ^vbz++++=justifies
its ^pp$+it+++=its
wide ^jj+atrb+++=wide
occurrence ^nn++++=occurrence
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
area ^nn++++=area.
. ^zz++++=EXTRAWORD
