Reproducible ^jj+atrb+++=Reproducible
research ^nn++++=research
comes ^vbz++++=comes
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
side ^nn++++=side
benefits ^nns++++=benefits.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition
to ^in"++++=to
being ^vbg+beg++xvbg+=being
able ^jj++++=able
to ^to+jcmp+++=to
fully ^rb+amp+splt++=fully
understand ^vbi+vprv+++=understand
the ^ati++++=the
process ^nns+nom+++=process
by ^in++++=by
which ^whp+rel+pied++=which
the ^ati++++=the
results ^nns++++=results
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained,
, ^zz++++=EXTRAWORD
readers ^nns+nom+++=readers
also ^rb++++=also
have ^vb+hv+vrb++=have
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
data ^nns++++=data
and ^cc++++=and
the ^ati++++=the
computer ^nn+nom+++=computer
code ^nn++++=code,
, ^zz++++=EXTRAWORD
both ^abx++++=both
of ^in++++=of
which ^whp+rel+pied++=which
are ^vb+ber+vrb++=are
valuable ^jj+pred+++=valuable
to ^in++++=to
the ^ati++++=the
extent ^nn++++=extent
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
can ^md+pos+++=can
be ^vb+be+aux++=be
reused ^vpsv++agls+xvbnx+=reused
or ^cc+phrs+++=or
repurposed ^vpsv++agls+xvbn+=repurposed
for ^in++++=for
future ^jjb+atrb+++=future
studies ^nns++++=studies
or ^cc++++=or
research ^nn++++=research.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
have ^vb+hv+aux++=have
suggested ^vprf+++xvbnx+=suggested
that ^tht+vcmp+++=that
making ^vbg+++xvbg+=making
data ^nns++++=data
and ^cc++++=and
computer ^nn+nom+++=computer
code ^nn++++=code
available ^jj++++=available
to ^in++++=to
others ^aps++++=others
is ^vbz+bez+vrb++=is
a ^at++++=a
per ^nnu++++=per
se ^&fw++++=se
goal ^nn++++=goal
of ^in++++=of
reproducible ^jj+atrb+++=reproducible
research ^nn++++=research
because ^cs+cos+++=because
both ^abx++++=both
can ^md+pos+++=can
be ^vb+be+aux++=be
built ^vpsv++agls+xvbnx+=built
on ^in++++=on
and ^cc++++=and
leveraged ^vpsv++agls+xvbn+=leveraged
to ^in++++=to
further ^jjb+atrb+++=further
scientific ^jj+atrb+++=scientific
knowledge ^nn++++=knowledge
( ^zz++++=(
17 ^cd++++=17
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
such ^abl++++=such
an ^at++++=an
interpretation ^nn+nom+++=interpretation
is ^vbz+bez+vrb++=is
an ^at++++=an
extension ^nn++++=extension
of ^in++++=of
the ^ati++++=the
original ^jj+atrb+++=original
ideas ^nns++++=ideas
of ^in++++=of
reproducibility ^nn+nom+++=reproducibility.
. ^zz++++=EXTRAWORD
The ^ati++++=The
former ^ap++++=former
view ^nn++++=view
saw ^vbd+vprv++xvbn+=saw
data ^nns++++=data
and ^cc++++=and
code ^nn++++=code
as ^in++++=as
a ^at++++=a
medium ^nn++++=medium
for ^in++++=for
communicating ^jj+atrb+++=communicating
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
latter ^ap++++=latter
view ^nn++++=view
sees ^vbz+vprv+++=sees
data ^nns++++=data
and ^cc++++=and
code ^nn++++=code
essentially ^rb+down+++=essentially
as ^ql++++=as
products ^nns++++=products
or ^cc++++=or
digital ^jj+atrb+++=digital
research ^nn++++=research
objects ^nns++++=objects
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^vpsv++by+xvbnx+=used
by ^in++++=by
others ^aps++++=others
( ^zz++++=(
48 ^cd++++=48
) ^zz++++=).
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
converting ^vbg+++xvbg+=converting
a ^at++++=a
data ^nns++++=data
set ^vbd+++xvbn+=set
into ^in++++=into
a ^at++++=a
data ^nns++++=data
product ^nn++++=product
and ^cc++++=and
packaging ^nn++++=packaging
computer ^nn+nom+++=computer
code ^nn++++=code
into ^in++++=into
usable ^jj+atrb+++=usable
software ^nn+++??+=software
may ^md+pos+++=may
seem ^vb+seem+++=seem
like ^in++++=like
nominal ^jj+atrb+++=nominal
tasks ^nns++++=tasks,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
that ^dt+dem+++=that
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
data ^nns++++=data
and ^cc++++=and
code ^nn++++=code
already ^rb++++=already
exist ^vb++++=exist,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
non ^&fw++++=non-negligible
- ^zz++++=EXTRAWORD
negligible ^jj++++=EXTRAWORD
costs ^vbz++++=costs
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
maintenance ^nn+nom+++=maintenance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
support ^nn++++=support
of ^in++++=of
these ^dt+dem+++=these
products ^nns++++=products.
. ^zz++++=EXTRAWORD
