During ^in++++=During
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
recording ^jj+atrb++xvbg+=recording
phase ^nn++++=phase
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
and ^cc++++=and
after ^in++++=after
optimization ^nn+nom+++=optimization
of ^in++++=of
signal ^nn++++=signal
detection ^nn+nom+++=detection,
, ^zz++++=EXTRAWORD
both ^abx++++=both
subjects ^nns++++=subjects
underwent ^jj++++=underwent
a ^at++++=a
day ^nn++++=day
of ^in++++=of
monopolar ^nn+++??+=monopolar
survey ^vb++++=survey
testing ^nvbg+++xvbg+=testing
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
electrode ^nn++++=electrode
contacts ^nns++++=contacts
to ^in++++=to
screen ^nn++++=screen
for ^in++++=for
any ^dti++++=any
acute ^jj+atrb+++=acute
stimulation ^nn+nom+++=stimulation
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
week ^nn++++=week
after ^cs+sub+++=after
this ^dt+dem+++=this
survey ^nn++++=survey
testing ^nvbg+++xvbg+=testing,
, ^zz++++=EXTRAWORD
each ^dt++++=each
subject ^nn++++=subject
was ^vbd+bedz+aux++=was
randomized ^vpsv++agls+xvbnx+=randomized
in ^in++++=in
a ^at++++=a
single ^jj++++=single-blind
- ^zz++++=EXTRAWORD
blind ^jj+atrb+++=EXTRAWORD
fashion ^nn++++=fashion
to ^to++++=to
receive ^vbi++++=receive
a ^at++++=a
week ^nn++++=week
of ^in++++=of
active ^jj++++=active
or ^cc++++=or
sham ^vb++++=sham
rdbs ^nns+++??+=rDBS
unilaterally ^rb++++=unilaterally
to ^to++++=to
assess ^vbi++++=assess
initial ^jj+atrb+++=initial
tolerability ^nn+nom+++=tolerability
and ^cc++++=and
optimize ^vb++++=optimize
stimulation ^nn+nom+++=stimulation
parameters ^nns+nom+++=parameters.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
subject ^nn++++=subject
was ^vbd+bedz+aux++=was
randomized ^vpsv++agls+xvbnx+=randomized
to ^in++++=to
active ^jj+atrb+++=active
stimulation ^nn+nom+++=stimulation
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
sham ^jj+atrb+++=sham
stimulation ^nn+nom+++=stimulation.
. ^zz++++=EXTRAWORD
For ^in++++=For
subject ^nn++++=subject
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
stimulation ^nn+nom+++=stimulation
was ^vbd+bedz+aux++=was
administered ^vpsv++agls+xvbnx+=administered
at ^rb++++=at
3 ^zz++++=3
ma ^npt++++=mA
unilateral ^jj++++=unilateral
for ^in++++=for
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
off ^in+pl+++=off
for ^in++++=for
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
5 ^zz++++=5
ma ^npt++++=mA
unilateral ^jj++++=unilateral
for ^in++++=for
4 ^zz++++=4
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
subject ^nn++++=subject
was ^vbd+bedz+aux++=was
unblinded ^vpsv++agls+xvbnx+=unblinded
after ^cs+sub+++=after
these ^dt+dem+++=these
4 ^zz++++=4
weeks ^nns++++=weeks
and ^cc++++=and
transitioned ^jj+++xvbn+=transitioned
to ^to++++=to
open ^vbi++++=open-label
- ^zz++++=EXTRAWORD
label ^nn++++=EXTRAWORD
stimulation ^nn+nom+++=stimulation.
. ^zz++++=EXTRAWORD
For ^in++++=For
subject ^nn++++=subject
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
stimulation ^nn+nom+++=stimulation
was ^vbd+bedz+aux++=was
administered ^vpsv++agls+xvbnx+=administered
at ^rb++++=at
0.5 ^nn+++??+=0.5
ma ^npt++++=mA
unilateral ^jj++++=unilateral
for ^in++++=for
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
off ^in+pl+++=off
for ^in++++=for
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
1 ^zz++++=1
ma ^npt++++=mA
bilateral ^jj++++=bilateral
( ^zz++++=(split
split ^vbd+++xvbn+=EXTRAWORD
between ^in++++=between
two ^cd++++=two
leads ^vbz++++=leads)
) ^zz++++=EXTRAWORD
for ^in++++=for
4 ^zz++++=4
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
subject ^nn++++=subject
randomized ^vbd+++xvbn+=randomized
to ^to++++=to
sham ^vbi++++=sham
stimulation ^nn+nom+++=stimulation
underwent ^jj++++=underwent
a ^at++++=a
week ^nn++++=week
of ^in++++=of
active ^jj+atrb+++=active
stimulation ^nn+nom+++=stimulation
testing ^vwbg+++xvbg+=testing
before ^in++++=before
transitioning ^nn++++=transitioning
into ^in++++=into
the ^ati++++=the
open ^jj++++=open-label
- ^zz++++=EXTRAWORD
label ^nn++++=EXTRAWORD
phase ^nn++++=phase.
. ^zz++++=EXTRAWORD
Stimulation ^nn+nom+++=Stimulation
was ^vbd+bedz+aux++=was
well ^rb++++=well
tolerated ^vpsv++agls+xvbn+=tolerated
throughout ^in++++=throughout
this ^dt+dem+++=this
protocol ^nn++++=protocol
with ^in++++=with
no ^at++++=no
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
