Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
two ^cd++++=two
Rwe ^np+++??+=RWE
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
addressing ^vbg+++xvbg+=addressing
the ^ati++++=the
same ^ap++++=same
question ^nn+nom+++=question
using ^vwbg+++xvbg+=using
adjustment ^nn+nom+++=adjustment
instead ^rb+cnj+++=instead
of ^in++++=of
matching ^xvbg+++xvbg+=matching,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
recently ^rb+tm+splt++=recently
reported ^vpsv++agls+xvbnx+=reported
. ^zz++++=.
In ^in++++=In
the ^ati++++=the
first ^rb++++=first
one ^pn++++=one,
, ^zz++++=EXTRAWORD
356 ^cd++++=356
patients ^nns++++=patients
treated ^vwbn+++xvbn+=treated
with ^in++++=with
Car ^nn++++=CAR
T ^zz++++=T
in ^in++++=in
Germany ^np++++=Germany
were ^vbd+bed+aux++=were
considered ^vpsv++agls+xvbnx+=considered
( ^zz++++=(173
173 ^cd++++=EXTRAWORD
treated ^vbd+++xvbn+=treated
with ^in++++=with
axi ^nn+++??+=axi-cel
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
and ^cc++++=and
183 ^cd++++=183
treated ^vbd+++xvbn+=treated
with ^in++++=with
tisa ^nn+++??+=tisa-cel).
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^in++++=After
adjusting ^nn++++=adjusting
for ^in++++=for
six ^cd++++=six
parameters ^nns+nom+++=parameters
in ^in++++=in
a ^at++++=a
Cox ^np+++??+=Cox
model ^nn++++=model,
, ^zz++++=EXTRAWORD
Pfs ^np+++??+=PFS
was ^vbd+bedz+vrb++=was
significantly ^rb++++=significantly
longer ^rbr++++=longer
after ^in++++=after
axi ^nn+++??+=axi-cel
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
infusion ^nn++++=infusion
than ^in++++=than
after ^in++++=after
tisa ^nn+++??+=tisa-cel
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
infusion ^nn++++=infusion.
. ^zz++++=EXTRAWORD
No ^at++++=No
significant ^jj+atrb+++=significant
difference ^nn+nom+++=difference
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
for ^in++++=for
Os ^np+++??+=OS.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
second ^od++++=second
one ^pn++++=one,
, ^zz++++=EXTRAWORD
68 ^cd++++=68
patients ^nns++++=patients
from ^in++++=from
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
treated ^vwbn+++xvbn+=treated
with ^in++++=with
axi ^nn+++??+=axi-cel
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
to ^to++++=to
31 ^cd++++=31
patients ^nns++++=patients
treated ^vwbn+++xvbn+=treated
with ^in++++=with
tisa ^nn+++??+=tisa-cel,
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
higher ^jjr+atrb+++=higher
response ^nn++++=response
rate ^nn++++=rate
after ^in++++=after
axi ^nn+++??+=axi-cel
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
infusion ^nn++++=infusion.
. ^zz++++=EXTRAWORD
With ^in++++=With
809 ^cd++++=809
patients ^nns++++=patients
analyzed ^vbd+++xvbn+=analyzed,
, ^zz++++=EXTRAWORD
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
matching ^jj+atrb++xvbg+=matching
approach ^nn++++=approach
encompassing ^vwbg+++xvbg+=encompassing
most ^ql+emph+++=most
of ^in++++=of
known ^vbn+vprv++xvbn+=known
confounding ^jj+atrb++xvbg+=confounding
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
multiple ^jj+atrb+++=multiple
sensitivity ^nn+nom+++=sensitivity
analyses ^nns++++=analyses
and ^cc++++=and
a ^at++++=a
sufficient ^nn++++=sufficient
follow ^vb+vprv+++=follow-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
showing ^nvbg+++xvbg+=showing,
, ^zz++++=EXTRAWORD
to ^in++++=to
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time,
, ^zz++++=EXTRAWORD
an ^at++++=an
Os ^np+++??+=OS
advantage ^nn+nom+++=advantage
associated ^vbd+++xvbn+=associated
with ^in++++=with
axi ^nn+++??+=axi-cel
- ^zz++++=EXTRAWORD
cel ^jj+++??+=EXTRAWORD
compared ^jj+++xvbn+=compared
to ^in++++=to
tisa ^nn+++??+=tisa-cel,
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
study ^nn++++=study
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
mature ^vb++++=mature
to ^in++++=to
date ^nn++++=date.
. ^zz++++=EXTRAWORD
